"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Gilbert, Logan","669302","2024","803","542",0.196,0.224,-0.027999999999999997,0.353,0.369,-0.016000000000000014,0.255,0.276,-0.02100000000000002,"3.23","3.14","0.095"
"Kirby, George","669923","2024","778","568",0.245,0.236,0.009000000000000008,0.393,0.396,-0.0030000000000000027,0.287,0.288,-0.0010000000000000009,"3.53","3.44","0.094"
"Castillo, Luis","622491","2024","719","492",0.238,0.244,-0.006000000000000005,0.412,0.404,0.007999999999999952,0.305,0.306,-0.0010000000000000009,"3.64","3.91","-0.266"
"Miller, Bryce","682243","2024","704","485",0.2,0.229,-0.028999999999999998,0.338,0.405,-0.067,0.26,0.299,-0.03899999999999998,"2.94","3.72","-0.775"
"Woo, Bryan","693433","2024","472","355",0.211,0.22,-0.009000000000000008,0.337,0.339,-0.0020000000000000018,0.249,0.257,-0.008000000000000007,"2.89","2.72","0.173"
"Thornton, Trent","663423","2024","294","193",0.238,0.226,0.011999999999999983,0.396,0.345,0.051000000000000045,0.302,0.284,0.018000000000000016,"3.61","3.34","0.268"
"Hancock, Emerson","676106","2024","266","202",0.259,0.29,-0.030999999999999972,0.456,0.484,-0.02799999999999997,0.339,0.368,-0.02899999999999997,"4.75","5.94","-1.193"
"Voth, Austin","608723","2024","248","166",0.204,0.21,-0.006000000000000005,0.367,0.345,0.02200000000000002,0.281,0.276,0.0050000000000000044,"3.69","3.14","0.549"
"Muñoz, Andrés","662253","2024","232","126",0.153,0.178,-0.024999999999999994,0.257,0.308,-0.05099999999999999,0.233,0.267,-0.034,"2.12","2.94","-0.816"
