"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Sears, JP","676664","2024","758","557",0.251,0.243,0.008000000000000007,0.439,0.442,-0.0030000000000000027,0.324,0.324,0,"4.38","4.43","-0.046"
"Spence, Mitch","687765","2024","651","475",0.276,0.251,0.025000000000000022,0.455,0.409,0.04600000000000004,0.34,0.314,0.026000000000000023,"4.58","4.14","0.439"
"Estes, Joey","683155","2024","543","414",0.259,0.245,0.014000000000000012,0.473,0.453,0.019999999999999962,0.333,0.324,0.009000000000000008,"5.00","4.43","0.575"
"Stripling, Ross","548389","2024","381","309",0.309,0.293,0.016000000000000014,0.453,0.437,0.016000000000000014,0.344,0.334,0.009999999999999953,"6.01","4.74","1.272"
"Harris, Hogan","663687","2024","305","208",0.244,0.26,-0.016000000000000014,0.391,0.431,-0.03999999999999998,0.32,0.343,-0.02300000000000002,"2.86","5.04","-2.178"
"Bido, Osvaldo","674370","2024","259","163",0.192,0.181,0.01100000000000001,0.286,0.272,0.013999999999999957,0.265,0.257,0.008000000000000007,"3.41","2.72","0.691"
"Miller, Mason","695243","2024","249","123",0.16,0.15,0.010000000000000009,0.262,0.225,0.037000000000000005,0.218,0.206,0.01200000000000001,"2.49","1.77","0.722"
"McFarland, T.J.","519008","2024","235","175",0.252,0.24,0.01200000000000001,0.367,0.343,0.023999999999999966,0.293,0.285,0.008000000000000007,"3.81","3.36","0.452"
"Boyle, Joe","671212","2024","226","126",0.235,0.215,0.01999999999999999,0.346,0.324,0.021999999999999964,0.334,0.321,0.013000000000000012,"6.42","4.34","2.08"
"Ferguson, Tyler","621053","2024","207","119",0.178,0.212,-0.034,0.306,0.361,-0.05499999999999999,0.262,0.297,-0.034999999999999976,"3.68","3.67","0.012"
