"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Kikuchi, Yusei","579328","2024","736","484",0.245,0.239,0.006000000000000005,0.391,0.396,-0.0050000000000000044,0.297,0.298,-0.0010000000000000009,"4.05","3.70","0.347"
"Brown, Hunter","686613","2024","712","468",0.242,0.225,0.016999999999999987,0.357,0.333,0.023999999999999966,0.296,0.283,0.013000000000000012,"3.49","3.31","0.184"
"Valdez, Framber","664285","2024","703","473",0.221,0.234,-0.013000000000000012,0.323,0.34,-0.017000000000000015,0.272,0.287,-0.014999999999999958,"2.91","3.41","-0.501"
"Blanco, Ronel","669854","2024","676","439",0.19,0.226,-0.036000000000000004,0.354,0.391,-0.03700000000000003,0.276,0.309,-0.032999999999999974,"2.80","4.00","-1.203"
"Arrighetti, Spencer","681293","2024","632","389",0.25,0.229,0.02099999999999999,0.424,0.384,0.03999999999999998,0.332,0.311,0.02100000000000002,"4.53","4.05","0.481"
"Verlander, Justin","434378","2024","396","289",0.274,0.234,0.04000000000000001,0.45,0.389,0.061,0.337,0.301,0.03600000000000003,"5.48","3.78","1.7"
"Abreu, Bryan","650556","2024","325","184",0.207,0.199,0.00799999999999998,0.344,0.33,0.013999999999999957,0.288,0.282,0.006000000000000005,"3.10","3.29","-0.188"
"Scott, Tayler","605463","2024","282","171",0.188,0.217,-0.028999999999999998,0.31,0.31,0,0.275,0.289,-0.013999999999999957,"2.23","3.46","-1.232"
"Hader, Josh","623352","2024","278","147",0.171,0.173,-0.001999999999999974,0.343,0.328,0.015000000000000013,0.261,0.257,0.0040000000000000036,"3.80","2.72","1.083"
"Neris, Héctor","593576","2024","260","165",0.244,0.238,0.006000000000000005,0.418,0.407,0.01100000000000001,0.324,0.32,0.0040000000000000036,"4.10","4.31","-0.214"
"Ferguson, Caleb","657571","2024","249","153",0.256,0.243,0.013000000000000012,0.388,0.372,0.016000000000000014,0.322,0.313,0.009000000000000008,"4.64","4.11","0.528"
"Pressly, Ryan","519151","2024","244","165",0.264,0.242,0.02200000000000002,0.395,0.397,-0.0020000000000000018,0.314,0.308,0.006000000000000005,"3.49","3.97","-0.476"
"Martinez, Seth","661527","2024","222","164",0.246,0.246,0,0.422,0.387,0.034999999999999976,0.323,0.312,0.01100000000000001,"3.59","4.08","-0.491"
"Dubin, Shawn","681869","2024","207","130",0.256,0.22,0.036000000000000004,0.375,0.338,0.03699999999999998,0.324,0.308,0.016000000000000014,"4.17","3.97","0.199"
