"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Irvin, Jake","663623","2024","769","557",0.244,0.253,-0.009000000000000008,0.428,0.43,-0.0020000000000000018,0.314,0.32,-0.006000000000000005,"4.41","4.31","0.102"
"Corbin, Patrick","571578","2024","764","568",0.298,0.295,0.0030000000000000027,0.486,0.473,0.013000000000000012,0.357,0.357,0,"5.62","5.53","0.086"
"Gore, MacKenzie","669022","2024","731","473",0.263,0.252,0.01100000000000001,0.398,0.378,0.020000000000000018,0.324,0.316,0.008000000000000007,"3.90","4.20","-0.304"
"Parker, Mitchell","680730","2024","646","468",0.259,0.256,0.0030000000000000027,0.408,0.434,-0.026000000000000023,0.311,0.322,-0.01100000000000001,"4.29","4.37","-0.079"
"Herz, DJ","687792","2024","382","236",0.224,0.208,0.016000000000000014,0.359,0.34,0.01899999999999996,0.294,0.281,0.012999999999999956,"4.16","3.26","0.902"
"Law, Derek","571882","2024","365","264",0.246,0.258,-0.01200000000000001,0.348,0.362,-0.014000000000000012,0.282,0.298,-0.016000000000000014,"2.60","3.70","-1.1"
"Barnes, Jacob","606930","2024","277","202",0.266,0.277,-0.01100000000000001,0.444,0.465,-0.02100000000000002,0.323,0.339,-0.016000000000000014,"4.36","4.91","-0.546"
"Finnegan, Kyle","640448","2024","271","187",0.249,0.261,-0.01200000000000001,0.4,0.411,-0.010999999999999954,0.309,0.321,-0.01200000000000001,"3.67","4.34","-0.665"
"Williams, Trevor","592866","2024","260","183",0.214,0.216,-0.0020000000000000018,0.294,0.345,-0.05099999999999999,0.248,0.277,-0.029000000000000026,"2.02","3.17","-1.145"
"Garcia, Robert","676395","2024","251","159",0.237,0.207,0.03,0.323,0.294,0.029000000000000026,0.27,0.248,0.02200000000000002,"4.22","2.53","1.693"
"Rainey, Tanner","663432","2024","231","154",0.239,0.237,0.0020000000000000018,0.416,0.473,-0.056999999999999995,0.335,0.356,-0.020999999999999963,"4.76","5.49","-0.725"
