"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Flexen, Chris","623167","2024","707","519",0.283,0.258,0.024999999999999967,0.476,0.437,0.03899999999999998,0.355,0.333,0.021999999999999964,"4.95","4.71","0.24"
"Crochet, Garrett","676979","2024","595","348",0.222,0.204,0.018000000000000016,0.371,0.341,0.02999999999999997,0.28,0.263,0.017000000000000015,"3.58","2.85","0.725"
"Cannon, Jonathan","686563","2024","522","386",0.263,0.258,0.0050000000000000044,0.44,0.411,0.029000000000000026,0.332,0.322,0.010000000000000009,"4.49","4.37","0.118"
"Soroka, Michael","647336","2024","347","216",0.224,0.237,-0.012999999999999984,0.415,0.398,0.01699999999999996,0.324,0.329,-0.0050000000000000044,"4.75","4.59","0.155"
"Shuster, Jared","694363","2024","321","232",0.261,0.268,-0.007000000000000006,0.41,0.423,-0.013000000000000012,0.324,0.333,-0.009000000000000008,"4.29","4.71","-0.415"
"De Los Santos, Enyel","660853","2024","278","182",0.262,0.249,0.013000000000000012,0.544,0.483,0.061000000000000054,0.377,0.351,0.026000000000000023,"5.20","5.31","-0.107"
"Anderson, Justin","605121","2024","243","150",0.234,0.239,-0.004999999999999977,0.351,0.417,-0.066,0.314,0.339,-0.025000000000000022,"4.39","4.91","-0.522"
"Kuhl, Chad","641771","2024","240","154",0.273,0.241,0.03200000000000003,0.41,0.365,0.044999999999999984,0.343,0.317,0.026000000000000023,"5.06","4.22","0.843"
"Martin, Davis","663436","2024","220","145",0.26,0.226,0.034,0.365,0.363,0.0020000000000000018,0.324,0.31,0.014000000000000012,"4.32","4.02","0.3"
