"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Severino, Luis","622663","2024","761","527",0.243,0.24,0.0030000000000000027,0.383,0.376,0.007000000000000006,0.308,0.305,0.0030000000000000027,"3.91","3.88","0.027"
"Manaea, Sean","640455","2024","738","481",0.202,0.227,-0.024999999999999994,0.338,0.374,-0.035999999999999976,0.275,0.3,-0.024999999999999967,"3.47","3.75","-0.282"
"Quintana, Jose","500779","2024","717","508",0.237,0.257,-0.020000000000000018,0.396,0.407,-0.010999999999999954,0.312,0.327,-0.015000000000000013,"3.75","4.52","-0.769"
"Peterson, David","656849","2024","510","356",0.243,0.261,-0.018000000000000016,0.349,0.397,-0.04800000000000004,0.299,0.329,-0.030000000000000027,"2.90","4.59","-1.689"
"Megill, Tylor","656731","2024","337","209",0.235,0.237,-0.0020000000000000018,0.372,0.392,-0.020000000000000018,0.304,0.316,-0.01200000000000001,"4.04","4.20","-0.162"
"Blackburn, Paul","621112","2024","316","233",0.262,0.266,-0.0040000000000000036,0.441,0.431,0.010000000000000009,0.329,0.329,0,"4.66","4.59","0.069"
"Houser, Adrian","605288","2024","309","228",0.272,0.268,0.0040000000000000036,0.445,0.443,0.0020000000000000018,0.35,0.349,0.0010000000000000009,"5.84","5.24","0.601"
"Buttó, José","676130","2024","294","172",0.167,0.19,-0.022999999999999993,0.276,0.318,-0.04199999999999998,0.26,0.288,-0.02799999999999997,"2.55","3.44","-0.886"
"Maton, Phil","664208","2024","265","172",0.203,0.239,-0.035999999999999976,0.346,0.385,-0.039000000000000035,0.29,0.32,-0.030000000000000027,"3.66","4.31","-0.654"
"Garrett, Reed","657585","2024","247","132",0.236,0.2,0.035999999999999976,0.363,0.307,0.055999999999999994,0.31,0.278,0.03199999999999997,"3.77","3.19","0.577"
"Ottavino, Adam","493603","2024","245","144",0.23,0.198,0.032,0.362,0.318,0.043999999999999984,0.305,0.278,0.02699999999999997,"4.34","3.19","1.149"
"Stanek, Ryne","592773","2024","241","146",0.226,0.205,0.02100000000000002,0.387,0.356,0.031000000000000028,0.307,0.288,0.019000000000000017,"4.88","3.44","1.44"
"Brazobán, Huascar","623211","2024","217","138",0.201,0.226,-0.024999999999999994,0.28,0.318,-0.03799999999999998,0.269,0.296,-0.02699999999999997,"3.83","3.64","0.192"
"Díaz, Edwin","621242","2024","216","109",0.188,0.166,0.021999999999999992,0.328,0.284,0.04400000000000004,0.269,0.246,0.02300000000000002,"3.52","2.49","1.032"
