"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Pfaadt, Brandon","694297","2024","760","528",0.259,0.246,0.013000000000000012,0.421,0.397,0.023999999999999966,0.312,0.301,0.01100000000000001,"4.71","3.78","0.926"
"Nelson, Ryne","669194","2024","630","464",0.266,0.267,-0.0010000000000000009,0.446,0.413,0.03300000000000003,0.322,0.315,0.007000000000000006,"4.24","4.17","0.071"
"Gallen, Zac","668678","2024","621","407",0.237,0.246,-0.009000000000000008,0.376,0.379,-0.0030000000000000027,0.301,0.308,-0.007000000000000006,"3.65","3.97","-0.321"
"Montgomery, Jordan","656756","2024","532","402",0.312,0.287,0.025000000000000022,0.496,0.443,0.05299999999999999,0.37,0.347,0.02300000000000002,"6.23","5.18","1.051"
"Cecconi, Slade","677944","2024","338","253",0.294,0.256,0.03799999999999998,0.527,0.449,0.07800000000000001,0.366,0.327,0.03899999999999998,"6.66","4.52","2.142"
"Martinez, Justin","679885","2024","308","179",0.221,0.216,0.0050000000000000044,0.288,0.284,0.0040000000000000036,0.269,0.273,-0.0040000000000000036,"2.48","3.07","-0.593"
"Kelly, Merrill","518876","2024","300","215",0.242,0.263,-0.02100000000000002,0.426,0.47,-0.043999999999999984,0.311,0.34,-0.029000000000000026,"4.03","4.94","-0.908"
"Puk, A.J.","640462","2024","294","176",0.195,0.197,-0.0020000000000000018,0.324,0.293,0.031000000000000028,0.265,0.257,0.008000000000000007,"3.15","2.72","0.434"
"Ginkel, Kevin","656464","2024","291","196",0.256,0.233,0.022999999999999993,0.389,0.359,0.030000000000000027,0.3,0.281,0.01899999999999996,"3.21","3.26","-0.046"
"Floro, Dylan","571670","2024","279","213",0.252,0.261,-0.009000000000000008,0.349,0.389,-0.040000000000000036,0.285,0.307,-0.02200000000000002,"3.80","3.94","-0.139"
"Thompson, Ryan","657044","2024","272","204",0.254,0.258,-0.0040000000000000036,0.377,0.405,-0.028000000000000025,0.29,0.309,-0.019000000000000017,"3.26","4.00","-0.744"
"Jarvis, Bryce","686826","2024","258","182",0.239,0.271,-0.03200000000000003,0.362,0.433,-0.07100000000000001,0.314,0.354,-0.03999999999999998,"3.19","5.42","-2.235"
"Mantiply, Joe","573009","2024","243","172",0.231,0.229,0.0020000000000000018,0.342,0.369,-0.02699999999999997,0.265,0.279,-0.014000000000000012,"3.92","3.22","0.702"
"Rodriguez, Eduardo","593958","2024","224","157",0.277,0.275,0.0020000000000000018,0.475,0.485,-0.010000000000000009,0.35,0.357,-0.007000000000000006,"5.04","5.53","-0.49"
