"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Fried, Max","608331","2024","714","483",0.226,0.245,-0.01899999999999999,0.315,0.358,-0.04299999999999998,0.273,0.299,-0.025999999999999968,"3.25","3.72","-0.468"
"Sale, Chris","519242","2024","702","430",0.216,0.213,0.0030000000000000027,0.319,0.317,0.0020000000000000018,0.26,0.261,-0.0010000000000000009,"2.38","2.80","-0.419"
"Morton, Charlie","450203","2024","701","451",0.251,0.243,0.008000000000000007,0.427,0.402,0.024999999999999967,0.335,0.326,0.009000000000000008,"4.19","4.49","-0.298"
"López, Reynaldo","625643","2024","543","351",0.22,0.242,-0.021999999999999992,0.333,0.394,-0.061,0.271,0.307,-0.035999999999999976,"1.99","3.94","-1.95"
"Schwellenbach, Spencer","680885","2024","500","344",0.226,0.239,-0.012999999999999984,0.391,0.375,0.016000000000000014,0.286,0.288,-0.0020000000000000018,"3.35","3.44","-0.092"
"Holmes, Grant","656550","2024","282","195",0.252,0.238,0.014000000000000012,0.37,0.383,-0.013000000000000012,0.287,0.289,-0.0020000000000000018,"3.56","3.46","0.096"
"Jiménez, Joe","641729","2024","277","168",0.181,0.182,-0.0010000000000000009,0.242,0.278,-0.03600000000000003,0.23,0.247,-0.016999999999999987,"2.62","2.51","0.111"
"Chavez, Jesse","445926","2024","264","189",0.249,0.263,-0.014000000000000012,0.427,0.411,0.016000000000000014,0.315,0.318,-0.0030000000000000027,"3.13","4.25","-1.124"
"Iglesias, Raisel","628452","2024","259","175",0.16,0.195,-0.035,0.248,0.292,-0.043999999999999984,0.2,0.233,-0.033,"1.95","2.24","-0.293"
"Bummer, Aaron","607481","2024","244","155",0.277,0.232,0.04500000000000001,0.364,0.283,0.08100000000000002,0.305,0.261,0.043999999999999984,"3.58","2.80","0.778"
"Brebbia, John","605154","2024","242","153",0.255,0.263,-0.008000000000000007,0.455,0.445,0.010000000000000009,0.337,0.338,-0.0010000000000000009,"5.86","4.87","0.985"
"Lee, Dylan","669276","2024","240","147",0.222,0.198,0.023999999999999994,0.376,0.33,0.045999999999999985,0.277,0.25,0.027000000000000024,"2.11","2.57","-0.458"
"Johnson, Pierce","572955","2024","236","142",0.23,0.224,0.006000000000000005,0.364,0.368,-0.0040000000000000036,0.302,0.302,0,"3.67","3.80","-0.125"
"Jackson, Luke","592426","2024","235","148",0.255,0.229,0.025999999999999995,0.402,0.373,0.029000000000000026,0.328,0.312,0.016000000000000014,"5.09","4.08","1.014"
"Elder, Bryce","693821","2024","226","161",0.311,0.285,0.026000000000000023,0.49,0.442,0.04799999999999999,0.37,0.343,0.02699999999999997,"6.52","5.04","1.483"
