"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Cease, Dylan","656302","2024","762","469",0.2,0.21,-0.009999999999999981,0.332,0.358,-0.025999999999999968,0.266,0.283,-0.01699999999999996,"3.47","3.31","0.16"
"King, Michael","650633","2024","726","455",0.221,0.226,-0.0050000000000000044,0.346,0.36,-0.014000000000000012,0.284,0.294,-0.010000000000000009,"2.95","3.59","-0.636"
"Waldron, Matt","663362","2024","625","440",0.255,0.246,0.009000000000000008,0.43,0.406,0.023999999999999966,0.323,0.313,0.010000000000000009,"4.91","4.11","0.799"
"Pérez, Martín","527048","2024","590","429",0.283,0.277,0.00599999999999995,0.46,0.468,-0.008000000000000007,0.351,0.353,-0.0020000000000000018,"4.53","5.38","-0.847"
"Vásquez, Randy","681190","2024","431","333",0.304,0.306,-0.0020000000000000018,0.473,0.487,-0.014000000000000012,0.36,0.368,-0.008000000000000007,"4.87","5.94","-1.073"
"Musgrove, Joe","605397","2024","410","276",0.251,0.248,0.0030000000000000027,0.419,0.422,-0.0030000000000000027,0.317,0.321,-0.0040000000000000036,"3.88","4.34","-0.457"
"Darvish, Yu","506433","2024","331","228",0.217,0.228,-0.01100000000000001,0.387,0.385,0.0020000000000000018,0.286,0.295,-0.009000000000000008,"3.31","3.62","-0.314"
"Scott, Tanner","656945","2024","294","171",0.179,0.2,-0.02100000000000002,0.243,0.29,-0.046999999999999986,0.241,0.268,-0.027000000000000024,"1.75","2.96","-1.21"
"Adam, Jason","592094","2024","282","172",0.159,0.203,-0.04400000000000001,0.259,0.336,-0.07700000000000001,0.224,0.276,-0.05200000000000002,"1.96","3.14","-1.185"
"Morejon, Adrian","670970","2024","272","179",0.256,0.225,0.031,0.39,0.346,0.04400000000000004,0.304,0.284,0.020000000000000018,"2.83","3.34","-0.513"
"Suarez, Robert","663158","2024","258","183",0.217,0.219,-0.0020000000000000018,0.333,0.356,-0.022999999999999965,0.262,0.272,-0.010000000000000009,"2.77","3.05","-0.281"
"Matsui, Yuki","673513","2024","257","161",0.204,0.203,0.0009999999999999731,0.381,0.325,0.055999999999999994,0.283,0.267,0.01599999999999996,"3.73","2.94","0.794"
"Estrada, Jeremiah","669093","2024","252","134",0.188,0.187,0.0010000000000000009,0.277,0.28,-0.0030000000000000027,0.239,0.248,-0.009000000000000008,"2.95","2.53","0.421"
"Kolek, Stephen","663568","2024","211","156",0.303,0.279,0.023999999999999966,0.41,0.405,0.004999999999999949,0.336,0.325,0.01100000000000001,"5.21","4.46","0.747"
"Hoeing, Bryan","663773","2024","210","153",0.219,0.287,-0.06799999999999998,0.316,0.461,-0.14500000000000002,0.259,0.344,-0.08499999999999996,"2.18","5.07","-2.89"
