"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Anderson, Tyler","542881","2024","765","543",0.232,0.245,-0.012999999999999984,0.394,0.413,-0.01899999999999996,0.308,0.322,-0.014000000000000012,"3.81","4.37","-0.556"
"Canning, Griffin","656288","2024","739","537",0.265,0.259,0.006000000000000005,0.459,0.437,0.02200000000000002,0.341,0.334,0.007000000000000006,"5.19","4.74","0.45"
"Soriano, José","667755","2024","468","316",0.224,0.242,-0.017999999999999988,0.329,0.369,-0.03999999999999998,0.287,0.314,-0.027000000000000024,"3.42","4.14","-0.715"
"Detmers, Reid","672282","2024","391","242",0.282,0.23,0.05199999999999996,0.511,0.404,0.10699999999999998,0.37,0.314,0.055999999999999994,"6.70","4.14","2.558"
"Fulmer, Carson","608334","2024","379","252",0.246,0.249,-0.0030000000000000027,0.419,0.433,-0.014000000000000012,0.326,0.334,-0.008000000000000007,"4.15","4.74","-0.586"
"Sandoval, Patrick","663776","2024","353","234",0.272,0.256,0.016000000000000014,0.401,0.385,0.016000000000000014,0.329,0.318,0.01100000000000001,"5.08","4.25","0.834"
"Contreras, Roansy","672710","2024","298","207",0.243,0.26,-0.017000000000000015,0.425,0.441,-0.016000000000000014,0.322,0.34,-0.018000000000000016,"4.35","4.94","-0.594"
"Strickland, Hunter","519326","2024","294","211",0.211,0.213,-0.0020000000000000018,0.376,0.382,-0.006000000000000005,0.286,0.29,-0.0040000000000000036,"3.31","3.49","-0.176"
"Kochanowicz, Jack","686799","2024","266","223",0.275,0.288,-0.012999999999999956,0.417,0.448,-0.031000000000000028,0.323,0.341,-0.018000000000000016,"4.00","4.97","-0.975"
"Suarez, José","660761","2024","240","153",0.274,0.256,0.018000000000000016,0.495,0.403,0.09199999999999997,0.371,0.337,0.033999999999999975,"6.02","4.84","1.179"
"Moore, Matt","519043","2024","210","141",0.218,0.216,0.0020000000000000018,0.436,0.405,0.030999999999999972,0.329,0.318,0.01100000000000001,"5.03","4.25","0.778"
