"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Gomber, Austin","596295","2024","696","541",0.273,0.278,-0.0050000000000000044,0.482,0.482,0,0.339,0.344,-0.004999999999999949,"4.75","5.07","-0.325"
"Feltner, Ryan","663372","2024","692","495",0.263,0.255,0.008000000000000007,0.408,0.41,-0.0020000000000000018,0.32,0.32,0,"4.49","4.31","0.181"
"Quantrill, Cal","615698","2024","656","466",0.273,0.274,-0.0010000000000000009,0.461,0.435,0.026000000000000023,0.358,0.351,0.007000000000000006,"4.97","5.31","-0.335"
"Freeland, Kyle","607536","2024","490","378",0.291,0.279,0.011999999999999955,0.507,0.481,0.026000000000000023,0.357,0.345,0.01200000000000001,"5.24","5.11","0.131"
"Hudson, Dakota","641712","2024","404","300",0.286,0.291,-0.0050000000000000044,0.436,0.45,-0.014000000000000012,0.36,0.37,-0.010000000000000009,"6.17","6.01","0.159"
"Blach, Ty","621389","2024","330","270",0.342,0.317,0.025000000000000022,0.585,0.571,0.014000000000000012,0.413,0.401,0.011999999999999955,"6.94","7.32","-0.381"
"Vodnik, Victor","680767","2024","320","217",0.257,0.257,0,0.382,0.423,-0.04099999999999998,0.322,0.338,-0.016000000000000014,"4.28","4.87","-0.594"
"Kinley, Tyler","641755","2024","285","178",0.248,0.244,0.0040000000000000036,0.455,0.408,0.04700000000000004,0.341,0.325,0.016000000000000014,"6.19","4.46","1.728"
"Lambert, Peter","663567","2024","280","198",0.302,0.264,0.03799999999999998,0.471,0.394,0.07699999999999996,0.362,0.325,0.03699999999999998,"5.72","4.46","1.263"
"Lawrence, Justin","664875","2024","279","194",0.313,0.3,0.013000000000000012,0.485,0.453,0.03199999999999997,0.387,0.376,0.01100000000000001,"6.49","6.25","0.236"
"Molina, Anthony","683627","2024","264","199",0.305,0.309,-0.0040000000000000036,0.445,0.47,-0.024999999999999967,0.349,0.369,-0.020000000000000018,"6.79","5.97","0.818"
