"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Peralta, Freddy","642547","2024","725","447",0.224,0.224,0,0.387,0.377,0.010000000000000009,0.305,0.305,0,"3.68","3.88","-0.201"
"Rea, Colin","607067","2024","714","526",0.258,0.272,-0.014000000000000012,0.447,0.452,-0.0050000000000000044,0.327,0.339,-0.01200000000000001,"4.29","4.91","-0.616"
"Civale, Aaron","650644","2024","689","482",0.252,0.243,0.009000000000000008,0.44,0.394,0.045999999999999985,0.327,0.309,0.018000000000000016,"4.36","4.00","0.36"
"Montas, Frankie","593423","2024","655","434",0.243,0.247,-0.0040000000000000036,0.42,0.428,-0.008000000000000007,0.325,0.333,-0.008000000000000007,"4.84","4.71","0.128"
"Myers, Tobias","668964","2024","569","401",0.242,0.251,-0.009000000000000008,0.387,0.419,-0.03199999999999997,0.297,0.317,-0.020000000000000018,"3.00","4.22","-1.22"
"Wilson, Bryse","669060","2024","442","325",0.252,0.279,-0.027000000000000024,0.432,0.477,-0.044999999999999984,0.323,0.352,-0.02899999999999997,"4.04","5.35","-1.309"
"Ross, Joe","605452","2024","321","224",0.251,0.239,0.01200000000000001,0.359,0.381,-0.02200000000000002,0.299,0.306,-0.007000000000000006,"3.77","3.91","-0.14"
"Milner, Hoby","571948","2024","268","188",0.258,0.249,0.009000000000000008,0.393,0.346,0.04700000000000004,0.297,0.28,0.01699999999999996,"4.73","3.24","1.492"
"Koenig, Jared","657649","2024","265","174",0.229,0.224,0.0050000000000000044,0.309,0.357,-0.04799999999999999,0.273,0.29,-0.01699999999999996,"2.47","3.49","-1.022"
"Mears, Nick","683232","2024","256","157",0.268,0.217,0.05100000000000002,0.417,0.356,0.061,0.324,0.283,0.041000000000000036,"5.93","3.31","2.621"
"Payamps, Joel","606303","2024","235","156",0.184,0.238,-0.05399999999999999,0.34,0.424,-0.08399999999999996,0.254,0.313,-0.059,"3.05","4.11","-1.059"
"Hudson, Bryan","663542","2024","231","148",0.135,0.198,-0.063,0.279,0.335,-0.055999999999999994,0.218,0.27,-0.05200000000000002,"1.73","3.01","-1.277"
"Peguero, Elvis","665625","2024","227","151",0.264,0.251,0.013000000000000012,0.36,0.361,-0.0010000000000000009,0.317,0.314,0.0030000000000000027,"2.98","4.14","-1.159"
