"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Cabrera, Edward","665795","2024","417","256",0.227,0.243,-0.015999999999999986,0.391,0.419,-0.02799999999999997,0.317,0.335,-0.018000000000000016,"4.95","4.78","0.172"
"Muñoz, Roddery","682610","2024","379","262",0.272,0.279,-0.007000000000000006,0.575,0.542,0.03299999999999992,0.393,0.39,0.0030000000000000027,"6.53","6.83","-0.298"
"Weathers, Ryan","677960","2024","367","254",0.236,0.244,-0.008000000000000007,0.39,0.408,-0.01799999999999996,0.303,0.316,-0.013000000000000012,"3.63","4.20","-0.565"
"Cronin, Declan","686539","2024","307","204",0.274,0.239,0.03500000000000003,0.35,0.348,0.0020000000000000018,0.308,0.295,0.013000000000000012,"4.35","3.62","0.731"
"Bellozo, Valente","678368","2024","295","228",0.256,0.25,0.006000000000000005,0.481,0.493,-0.01200000000000001,0.338,0.346,-0.007999999999999952,"3.67","5.14","-1.47"
"Luzardo, Jesús","666200","2024","274","192",0.246,0.255,-0.009000000000000008,0.411,0.432,-0.02100000000000002,0.315,0.329,-0.014000000000000012,"5.00","4.59","0.405"
"Baumann, Mike","657508","2024","264","174",0.259,0.238,0.02100000000000002,0.456,0.409,0.04700000000000004,0.344,0.329,0.014999999999999958,"5.55","4.59","0.964"
"Meyer, Max","676974","2024","248","180",0.276,0.246,0.030000000000000027,0.56,0.454,0.10600000000000004,0.381,0.334,0.046999999999999986,"5.68","4.74","0.944"
"Faucher, Calvin","676534","2024","235","142",0.246,0.232,0.013999999999999985,0.342,0.331,0.01100000000000001,0.299,0.299,0,"3.19","3.72","-0.534"
"Bender, Anthony","669622","2024","228","147",0.245,0.23,0.014999999999999986,0.353,0.34,0.012999999999999956,0.296,0.288,0.008000000000000007,"4.08","3.44","0.635"
"Nardi, Andrew","677053","2024","210","121",0.234,0.194,0.04000000000000001,0.426,0.317,0.10899999999999999,0.312,0.259,0.05299999999999999,"5.07","2.76","2.314"
