"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Littell, Zack","641793","2024","656","478",0.265,0.263,0.0020000000000000018,0.426,0.436,-0.010000000000000009,0.317,0.321,-0.0040000000000000036,"3.63","4.34","-0.713"
"Bradley, Taj","671737","2024","578","373",0.235,0.231,0.003999999999999976,0.408,0.418,-0.010000000000000009,0.308,0.315,-0.007000000000000006,"4.11","4.17","-0.061"
"Pepiot, Ryan","686752","2024","539","341",0.212,0.216,-0.0040000000000000036,0.364,0.372,-0.008000000000000007,0.29,0.296,-0.006000000000000005,"3.60","3.64","-0.04"
"Alexander, Tyler","641302","2024","455","336",0.263,0.259,0.0040000000000000036,0.48,0.464,0.01599999999999996,0.335,0.332,0.0030000000000000027,"5.10","4.68","0.419"
"Baz, Shane","669358","2024","319","219",0.2,0.219,-0.01899999999999999,0.319,0.37,-0.05099999999999999,0.266,0.295,-0.02899999999999997,"3.06","3.62","-0.557"
"Kelly, Kevin","687330","2024","278","201",0.226,0.243,-0.016999999999999987,0.352,0.367,-0.015000000000000013,0.268,0.284,-0.01599999999999996,"2.67","3.34","-0.665"
"Cleavinger, Garrett","664076","2024","266","157",0.231,0.232,-0.0010000000000000009,0.342,0.37,-0.02799999999999997,0.308,0.321,-0.013000000000000012,"3.75","4.34","-0.59"
