"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Lugo, Seth","607625","2024","836","598",0.229,0.243,-0.013999999999999985,0.353,0.389,-0.03600000000000003,0.278,0.3,-0.021999999999999964,"3.00","3.75","-0.745"
"Ragans, Cole","666142","2024","762","466",0.213,0.216,-0.0030000000000000027,0.334,0.34,-0.006000000000000005,0.277,0.283,-0.00599999999999995,"3.14","3.31","-0.17"
"Singer, Brady","663903","2024","762","528",0.253,0.267,-0.014000000000000012,0.405,0.426,-0.020999999999999963,0.316,0.331,-0.015000000000000013,"3.71","4.65","-0.943"
"Wacha, Michael","608379","2024","685","489",0.246,0.252,-0.006000000000000005,0.387,0.405,-0.018000000000000016,0.3,0.311,-0.01100000000000001,"3.35","4.05","-0.702"
"Marsh, Alec","679525","2024","548","374",0.249,0.264,-0.015000000000000013,0.434,0.453,-0.019000000000000017,0.325,0.341,-0.016000000000000014,"4.54","4.97","-0.435"
"Lorenzen, Michael","547179","2024","535","373",0.216,0.243,-0.026999999999999996,0.372,0.413,-0.04099999999999998,0.303,0.329,-0.026000000000000023,"3.31","4.59","-1.275"
"Stratton, Chris","608717","2024","257","177",0.248,0.255,-0.007000000000000006,0.397,0.399,-0.0020000000000000018,0.326,0.341,-0.015000000000000013,"5.55","4.97","0.584"
"Erceg, Lucas","668674","2024","253","159",0.212,0.223,-0.01100000000000001,0.303,0.34,-0.03700000000000003,0.259,0.28,-0.02100000000000002,"3.36","3.24","0.117"
"McArthur, James","663704","2024","246","181",0.298,0.272,0.025999999999999968,0.456,0.428,0.028000000000000025,0.344,0.324,0.019999999999999962,"4.92","4.43","0.494"
"Zerpa, Angel","672582","2024","240","169",0.273,0.261,0.01200000000000001,0.403,0.413,-0.009999999999999953,0.323,0.325,-0.0020000000000000018,"3.86","4.46","-0.603"
"Schreiber, John","670167","2024","224","154",0.242,0.229,0.012999999999999984,0.318,0.316,0.0020000000000000018,0.287,0.286,0.0010000000000000009,"3.66","3.39","0.268"
"Harvey, Hunter","640451","2024","219","143",0.259,0.279,-0.020000000000000018,0.442,0.454,-0.01200000000000001,0.333,0.347,-0.013999999999999957,"4.44","5.18","-0.739"
