"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Eovaldi, Nathan","543135","2024","696","481",0.229,0.246,-0.016999999999999987,0.386,0.391,-0.0050000000000000044,0.291,0.306,-0.015000000000000013,"3.80","3.91","-0.113"
"Heaney, Andrew","571760","2024","693","481",0.251,0.253,-0.0020000000000000018,0.41,0.433,-0.02300000000000002,0.312,0.325,-0.013000000000000012,"4.28","4.46","-0.185"
"Ureña, José","570632","2024","463","350",0.254,0.26,-0.006000000000000005,0.399,0.411,-0.011999999999999955,0.314,0.324,-0.010000000000000009,"3.80","4.43","-0.632"
"Gray, Jon","592351","2024","439","325",0.262,0.276,-0.014000000000000012,0.404,0.441,-0.03699999999999998,0.309,0.331,-0.02200000000000002,"4.47","4.65","-0.179"
"Dunning, Dane","641540","2024","421","284",0.26,0.262,-0.0020000000000000018,0.461,0.469,-0.007999999999999952,0.347,0.35,-0.0030000000000000027,"5.30","5.28","0.025"
"Bradford, Cody","674003","2024","308","224",0.218,0.235,-0.016999999999999987,0.379,0.404,-0.025000000000000022,0.273,0.292,-0.01899999999999996,"3.54","3.54","-0.003"
"Robertson, David","502085","2024","297","164",0.202,0.212,-0.009999999999999981,0.282,0.328,-0.04600000000000004,0.257,0.278,-0.02100000000000002,"3.00","3.19","-0.19"
"Leclerc, José","600917","2024","288","163",0.227,0.214,0.013000000000000012,0.348,0.344,0.0040000000000000036,0.3,0.294,0.006000000000000005,"4.32","3.59","0.73"
"Anderson, Chase","502624","2024","255","188",0.242,0.241,0.0010000000000000009,0.449,0.427,0.02200000000000002,0.329,0.326,0.0030000000000000027,"5.40","4.49","0.91"
"Chafin, Andrew","605177","2024","246","144",0.246,0.222,0.023999999999999994,0.341,0.347,-0.00599999999999995,0.301,0.296,0.0050000000000000044,"3.52","3.64","-0.125"
"Yates, Kirby","489446","2024","237","121",0.113,0.145,-0.03199999999999999,0.182,0.214,-0.032,0.186,0.212,-0.025999999999999995,"1.17","1.86","-0.692"
