"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Burnes, Corbin","669203","2024","784","553",0.226,0.231,-0.0050000000000000044,0.347,0.367,-0.020000000000000018,0.273,0.284,-0.010999999999999954,"2.92","3.34","-0.422"
"Eflin, Zach","621107","2024","684","523",0.254,0.249,0.0050000000000000044,0.404,0.405,-0.0010000000000000009,0.297,0.297,0,"3.59","3.67","-0.077"
"Suárez, Albert","544150","2024","565","411",0.255,0.243,0.01200000000000001,0.425,0.406,0.01899999999999996,0.32,0.311,0.009000000000000008,"3.70","4.05","-0.347"
"Rogers, Trevor","669432","2024","562","405",0.285,0.275,0.009999999999999953,0.458,0.436,0.02200000000000002,0.35,0.347,0.0030000000000000027,"4.92","5.18","-0.258"
"Kremer, Dean","665152","2024","553","376",0.223,0.239,-0.015999999999999986,0.371,0.423,-0.05199999999999999,0.294,0.326,-0.03200000000000003,"4.09","4.49","-0.395"
"Rodriguez, Grayson","680570","2024","491","320",0.243,0.231,0.011999999999999983,0.405,0.387,0.018000000000000016,0.31,0.299,0.01100000000000001,"3.86","3.72","0.137"
"Povich, Cade","700249","2024","352","246",0.256,0.232,0.023999999999999994,0.454,0.402,0.05199999999999999,0.339,0.313,0.026000000000000023,"5.20","4.11","1.087"
"Akin, Keegan","669211","2024","313","195",0.193,0.184,0.009000000000000008,0.347,0.31,0.03699999999999998,0.255,0.244,0.01100000000000001,"3.32","2.45","0.868"
"Domínguez, Seranthony","622554","2024","255","164",0.225,0.209,0.016000000000000014,0.424,0.394,0.02999999999999997,0.312,0.296,0.016000000000000014,"4.45","3.64","0.809"
"Cano, Yennier","666974","2024","249","159",0.242,0.233,0.00899999999999998,0.372,0.361,0.01100000000000001,0.303,0.299,0.0040000000000000036,"3.15","3.72","-0.57"
"Soto, Gregory","642397","2024","244","144",0.272,0.236,0.03600000000000003,0.398,0.372,0.026000000000000023,0.34,0.322,0.018000000000000016,"4.42","4.37","0.045"
"Smith, Burch","572143","2024","241","181",0.288,0.268,0.019999999999999962,0.428,0.436,-0.008000000000000007,0.328,0.325,0.0030000000000000027,"4.95","4.46","0.493"
"Pérez, Cionel","672335","2024","238","159",0.232,0.223,0.009000000000000008,0.31,0.307,0.0030000000000000027,0.296,0.294,0.0020000000000000018,"4.53","3.59","0.938"
"Webb, Jacob","657097","2024","237","151",0.192,0.212,-0.01999999999999999,0.303,0.351,-0.04799999999999999,0.266,0.291,-0.024999999999999967,"3.02","3.51","-0.492"
"Kimbrel, Craig","518886","2024","232","123",0.208,0.218,-0.010000000000000009,0.365,0.381,-0.016000000000000014,0.309,0.32,-0.01100000000000001,"5.33","4.31","1.021"
