"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Greene, Hunter","668881","2024","611","366",0.183,0.188,-0.0050000000000000044,0.298,0.302,-0.0040000000000000036,0.265,0.271,-0.006000000000000005,"2.75","3.03","-0.276"
"Abbott, Andrew","671096","2024","586","418",0.24,0.235,0.0050000000000000044,0.439,0.403,0.035999999999999976,0.323,0.31,0.013000000000000012,"3.72","4.02","-0.303"
"Martinez, Nick","607259","2024","570","430",0.237,0.242,-0.0050000000000000044,0.377,0.365,0.01200000000000001,0.279,0.278,0.0010000000000000009,"3.10","3.19","-0.092"
"Lodolo, Nick","666157","2024","493","316",0.231,0.226,0.0050000000000000044,0.38,0.356,0.02400000000000002,0.309,0.299,0.010000000000000009,"4.76","3.72","1.04"
"Spiers, Carson","686730","2024","410","298",0.297,0.257,0.03999999999999998,0.536,0.465,0.07100000000000001,0.379,0.337,0.04199999999999998,"5.46","4.84","0.62"
"Ashcraft, Graham","668933","2024","350","260",0.282,0.278,0.003999999999999948,0.434,0.438,-0.0040000000000000036,0.342,0.347,-0.004999999999999949,"5.24","5.18","0.057"
"Farmer, Buck","571656","2024","299","193",0.215,0.238,-0.022999999999999993,0.369,0.397,-0.028000000000000025,0.293,0.314,-0.02100000000000002,"3.04","4.14","-1.098"
"Cruz, Fernando","518585","2024","288","143",0.216,0.223,-0.007000000000000006,0.388,0.386,0.0020000000000000018,0.307,0.311,-0.0040000000000000036,"4.86","4.05","0.81"
"Suter, Brent","608718","2024","270","205",0.249,0.27,-0.02100000000000002,0.419,0.416,0.0030000000000000027,0.305,0.316,-0.01100000000000001,"3.15","4.20","-1.048"
"Junis, Jakob","596001","2024","253","191",0.203,0.251,-0.04799999999999999,0.361,0.414,-0.05299999999999999,0.259,0.302,-0.04299999999999998,"2.69","3.80","-1.113"
"Díaz, Alexis","664747","2024","242","150",0.206,0.206,0,0.338,0.329,0.009000000000000008,0.3,0.298,0.0020000000000000018,"3.99","3.70","0.294"
"Wilson, Justin","458677","2024","209","143",0.286,0.245,0.04099999999999998,0.495,0.44,0.05499999999999999,0.354,0.318,0.035999999999999976,"5.59","4.25","1.343"
