"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Fedde, Erick","607200","2024","726","515",0.233,0.245,-0.011999999999999983,0.381,0.394,-0.013000000000000012,0.293,0.306,-0.013000000000000012,"3.30","3.91","-0.611"
"Gibson, Kyle","502043","2024","722","499",0.251,0.263,-0.01200000000000001,0.418,0.428,-0.010000000000000009,0.323,0.338,-0.015000000000000013,"4.24","4.87","-0.626"
"Mikolas, Miles","571945","2024","720","567",0.284,0.278,0.00599999999999995,0.485,0.459,0.025999999999999968,0.339,0.331,0.008000000000000007,"5.35","4.65","0.698"
"Gray, Sonny","543243","2024","671","425",0.228,0.237,-0.00899999999999998,0.401,0.394,0.007000000000000006,0.292,0.297,-0.0050000000000000044,"3.84","3.67","0.172"
"Lynn, Lance","458681","2024","511","354",0.247,0.262,-0.015000000000000013,0.402,0.453,-0.05099999999999999,0.314,0.34,-0.026000000000000023,"3.83","4.94","-1.105"
"Pallante, Andre","669467","2024","509","365",0.24,0.232,0.00799999999999998,0.338,0.328,0.010000000000000009,0.293,0.289,0.0040000000000000036,"3.78","3.46","0.323"
"Liberatore, Matthew","669461","2024","358","252",0.251,0.251,0,0.415,0.415,0,0.313,0.316,-0.0030000000000000027,"4.39","4.20","0.195"
"Kittredge, Andrew","552640","2024","287","200",0.228,0.25,-0.021999999999999992,0.395,0.412,-0.01699999999999996,0.289,0.308,-0.019000000000000017,"2.80","3.97","-1.168"
"Fernandez, Ryan","681676","2024","285","180",0.236,0.221,0.014999999999999986,0.341,0.324,0.017000000000000015,0.291,0.292,-0.0010000000000000009,"3.51","3.54","-0.03"
"Helsley, Ryan","664854","2024","266","164",0.21,0.212,-0.0020000000000000018,0.273,0.301,-0.02799999999999997,0.243,0.257,-0.014000000000000012,"2.04","2.72","-0.685"
"King, John","667463","2024","248","195",0.258,0.253,0.0050000000000000044,0.351,0.383,-0.03200000000000003,0.28,0.303,-0.022999999999999965,"2.85","3.83","-0.98"
"Romero, JoJo","668941","2024","243","171",0.236,0.272,-0.03600000000000003,0.395,0.46,-0.065,0.305,0.346,-0.04099999999999998,"3.36","5.14","-1.784"
