"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Keller, Mitch","656605","2024","773","540",0.261,0.249,0.01200000000000001,0.446,0.409,0.03700000000000003,0.331,0.32,0.01100000000000001,"4.25","4.31","-0.063"
"Falter, Bailey","663559","2024","589","445",0.26,0.267,-0.007000000000000006,0.424,0.45,-0.026000000000000023,0.32,0.336,-0.016000000000000014,"4.43","4.81","-0.384"
"Ortiz, Luis L.","682847","2024","556","398",0.218,0.24,-0.021999999999999992,0.372,0.425,-0.05299999999999999,0.287,0.32,-0.03300000000000003,"3.32","4.31","-0.993"
"Skenes, Paul","694973","2024","514","306",0.198,0.193,0.0050000000000000044,0.295,0.297,-0.0020000000000000018,0.247,0.248,-0.0010000000000000009,"1.96","2.53","-0.568"
"Jones, Jared","683003","2024","504","328",0.232,0.234,-0.0020000000000000018,0.432,0.404,0.02799999999999997,0.314,0.311,0.0030000000000000027,"4.14","4.05","0.092"
"Beeks, Jalen","656222","2024","312","227",0.279,0.243,0.03600000000000003,0.388,0.372,0.016000000000000014,0.322,0.302,0.020000000000000018,"4.50","3.80","0.7"
"Wentz, Joey","666214","2024","304","194",0.252,0.223,0.028999999999999998,0.378,0.349,0.029000000000000026,0.317,0.298,0.019000000000000017,"4.68","3.70","0.978"
"Santana, Dennis","642701","2024","287","193",0.22,0.223,-0.0030000000000000027,0.351,0.333,0.01799999999999996,0.281,0.277,0.0040000000000000036,"3.89","3.17","0.723"
"Chapman, Aroldis","547973","2024","264","126",0.198,0.165,0.033,0.315,0.282,0.03300000000000003,0.289,0.269,0.019999999999999962,"3.79","2.98","0.815"
"Bednar, David","670280","2024","262","172",0.238,0.229,0.00899999999999998,0.41,0.416,-0.006000000000000005,0.319,0.322,-0.0030000000000000027,"5.78","4.37","1.405"
"Nicolas, Kyle","693312","2024","244","153",0.249,0.237,0.01200000000000001,0.341,0.358,-0.01699999999999996,0.315,0.323,-0.008000000000000007,"3.95","4.40","-0.449"
"Holderman, Colin","670059","2024","223","137",0.223,0.214,0.009000000000000008,0.367,0.37,-0.0030000000000000027,0.307,0.315,-0.008000000000000007,"3.16","4.17","-1.014"
"Mlodzinski, Carmen","669387","2024","209","142",0.223,0.227,-0.0040000000000000036,0.315,0.336,-0.02100000000000002,0.272,0.284,-0.011999999999999955,"3.38","3.34","0.035"
