"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Rodón, Carlos","607074","2024","736","474",0.235,0.227,0.00799999999999998,0.435,0.421,0.014000000000000012,0.32,0.314,0.006000000000000005,"3.96","4.14","-0.18"
"Cortes, Nestor","641482","2024","710","505",0.245,0.236,0.009000000000000008,0.421,0.396,0.024999999999999967,0.307,0.295,0.01200000000000001,"3.77","3.62","0.149"
"Stroman, Marcus","573186","2024","675","493",0.277,0.271,0.006000000000000005,0.431,0.43,0.0010000000000000009,0.341,0.34,0.0010000000000000009,"4.31","4.94","-0.634"
"Gil, Luis","661563","2024","637","380",0.189,0.208,-0.01899999999999999,0.345,0.356,-0.01100000000000001,0.288,0.302,-0.014000000000000012,"3.50","3.80","-0.299"
"Cole, Gerrit","543037","2024","390","256",0.22,0.226,-0.006000000000000005,0.358,0.376,-0.018000000000000016,0.286,0.296,-0.010000000000000009,"3.41","3.64","-0.229"
"Schmidt, Clarke","657376","2024","353","221",0.23,0.226,0.0040000000000000036,0.356,0.353,0.0030000000000000027,0.296,0.301,-0.0050000000000000044,"2.85","3.78","-0.932"
"Weaver, Luke","596133","2024","331","198",0.176,0.2,-0.02400000000000002,0.334,0.36,-0.025999999999999968,0.256,0.283,-0.02699999999999997,"2.89","3.31","-0.417"
"Hill, Tim","657612","2024","290","238",0.291,0.263,0.02799999999999997,0.34,0.324,0.016000000000000014,0.3,0.293,0.007000000000000006,"3.36","3.56","-0.202"
"Holmes, Clay","605280","2024","271","178",0.248,0.226,0.021999999999999992,0.347,0.332,0.014999999999999958,0.292,0.282,0.010000000000000009,"3.14","3.29","-0.147"
"Leiter Jr., Mark","643410","2024","256","145",0.238,0.224,0.013999999999999985,0.39,0.348,0.04200000000000004,0.308,0.288,0.020000000000000018,"4.50","3.44","1.06"
