"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Nola, Aaron","605400","2024","820","570",0.247,0.244,0.0030000000000000027,0.421,0.388,0.032999999999999974,0.31,0.299,0.01100000000000001,"3.57","3.72","-0.153"
"Wheeler, Zack","554430","2024","787","503",0.192,0.197,-0.0050000000000000044,0.328,0.328,0,0.256,0.261,-0.0050000000000000044,"2.56","2.80","-0.235"
"Sánchez, Cristopher","650911","2024","754","557",0.258,0.258,0,0.358,0.363,-0.0050000000000000044,0.29,0.293,-0.0030000000000000027,"3.32","3.56","-0.241"
"Suárez, Ranger","624133","2024","626","434",0.243,0.25,-0.007000000000000006,0.379,0.365,0.014000000000000012,0.297,0.297,0,"3.46","3.67","-0.205"
"Walker, Taijuan","592836","2024","381","283",0.317,0.295,0.02200000000000002,0.589,0.553,0.03599999999999992,0.413,0.396,0.01699999999999996,"7.10","7.09","0.01"
"Banks, Tanner","621383","2024","310","205",0.249,0.232,0.016999999999999987,0.361,0.344,0.017000000000000015,0.293,0.287,0.006000000000000005,"3.98","3.41","0.572"
"Hoffman, Jeff","656546","2024","265","157",0.197,0.202,-0.0050000000000000044,0.324,0.343,-0.019000000000000017,0.252,0.264,-0.01200000000000001,"2.17","2.87","-0.699"
"Alvarado, José","621237","2024","258","166",0.215,0.238,-0.022999999999999993,0.346,0.368,-0.02200000000000002,0.288,0.308,-0.020000000000000018,"4.09","3.97","0.116"
"Kerkering, Orion","689147","2024","257","158",0.223,0.22,0.0030000000000000027,0.301,0.32,-0.019000000000000017,0.271,0.278,-0.007000000000000006,"2.29","3.19","-0.904"
"Strahm, Matt","621381","2024","237","141",0.166,0.188,-0.021999999999999992,0.276,0.309,-0.032999999999999974,0.221,0.243,-0.021999999999999992,"1.87","2.43","-0.563"
"Turnbull, Spencer","605513","2024","222","139",0.188,0.229,-0.04100000000000001,0.325,0.38,-0.05499999999999999,0.272,0.311,-0.03899999999999998,"2.65","4.05","-1.4"
"Ruiz, José","614179","2024","217","147",0.26,0.253,0.007000000000000006,0.423,0.407,0.016000000000000014,0.32,0.314,0.006000000000000005,"3.71","4.14","-0.434"
"Estévez, Carlos","608032","2024","212","149",0.192,0.22,-0.027999999999999997,0.313,0.391,-0.07800000000000001,0.235,0.278,-0.04300000000000004,"2.46","3.19","-0.735"
