"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Skubal, Tarik","669373","2024","753","481",0.201,0.208,-0.0069999999999999785,0.311,0.328,-0.017000000000000015,0.246,0.257,-0.01100000000000001,"2.39","2.72","-0.329"
"Maeda, Kenta","628317","2024","485","352",0.281,0.257,0.02400000000000002,0.491,0.426,0.065,0.351,0.324,0.02699999999999997,"6.09","4.43","1.659"
"Olson, Reese","681857","2024","465","327",0.238,0.247,-0.009000000000000008,0.347,0.359,-0.01200000000000001,0.282,0.296,-0.014000000000000012,"3.52","3.64","-0.115"
"Mize, Casey","663554","2024","452","343",0.29,0.286,0.0040000000000000036,0.436,0.431,0.0050000000000000044,0.335,0.334,0.0010000000000000009,"4.49","4.74","-0.255"
"Montero, Keider","672456","2024","412","301",0.265,0.284,-0.01899999999999996,0.463,0.457,0.006000000000000005,0.341,0.349,-0.007999999999999952,"4.76","5.24","-0.481"
"Holton, Tyler","663947","2024","354","256",0.173,0.215,-0.04200000000000001,0.279,0.331,-0.05199999999999999,0.221,0.26,-0.03900000000000001,"2.19","2.78","-0.586"
"Vest, Will","676684","2024","289","205",0.234,0.26,-0.025999999999999995,0.31,0.37,-0.06,0.261,0.303,-0.04199999999999998,"2.81","3.83","-1.015"
"Brieske, Beau","689225","2024","282","181",0.224,0.216,0.008000000000000007,0.354,0.331,0.022999999999999965,0.291,0.283,0.008000000000000007,"3.59","3.31","0.281"
"Foley, Jason","671345","2024","250","182",0.228,0.255,-0.026999999999999996,0.339,0.392,-0.05299999999999999,0.277,0.316,-0.03899999999999998,"3.15","4.20","-1.05"
"Faedo, Alex","656412","2024","246","160",0.233,0.249,-0.015999999999999986,0.405,0.383,0.02200000000000002,0.322,0.324,-0.0020000000000000018,"3.61","4.43","-0.82"
"Miller, Shelby","571946","2024","225","158",0.202,0.222,-0.01999999999999999,0.384,0.389,-0.0050000000000000044,0.28,0.3,-0.019999999999999962,"4.53","3.75","0.777"
