"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Flaherty, Jack","656427","2024","649","413",0.223,0.233,-0.010000000000000009,0.388,0.38,0.008000000000000007,0.288,0.292,-0.0040000000000000036,"3.17","3.54","-0.373"
"Stone, Gavin","694813","2024","580","425",0.248,0.254,-0.006000000000000005,0.402,0.396,0.006000000000000005,0.304,0.307,-0.0030000000000000027,"3.53","3.94","-0.413"
"Glasnow, Tyler","607192","2024","522","317",0.19,0.195,-0.0050000000000000044,0.347,0.324,0.022999999999999965,0.258,0.254,0.0040000000000000036,"3.49","2.65","0.843"
"Yamamoto, Yoshinobu","808967","2024","368","240",0.229,0.237,-0.00799999999999998,0.365,0.356,0.009000000000000008,0.278,0.288,-0.009999999999999953,"3.00","3.44","-0.44"
"Buehler, Walker","621111","2024","344","246",0.289,0.263,0.025999999999999968,0.506,0.428,0.07800000000000001,0.37,0.335,0.034999999999999976,"5.38","4.78","0.596"
"Knack, Landon","689017","2024","286","196",0.22,0.225,-0.0050000000000000044,0.428,0.426,0.0020000000000000018,0.304,0.307,-0.0030000000000000027,"3.65","3.94","-0.288"
"Kopech, Michael","656629","2024","279","152",0.188,0.192,-0.0040000000000000036,0.321,0.346,-0.024999999999999967,0.277,0.29,-0.012999999999999956,"3.46","3.49","-0.032"
"Vesia, Alex","681911","2024","263","140",0.148,0.157,-0.009000000000000008,0.291,0.319,-0.028000000000000025,0.246,0.26,-0.014000000000000012,"1.76","2.78","-1.016"
"Miller, Bobby","676272","2024","258","174",0.305,0.296,0.009000000000000008,0.571,0.528,0.04299999999999993,0.411,0.394,0.01699999999999996,"8.52","7.00","1.518"
"Hudson, Daniel","543339","2024","253","170",0.198,0.216,-0.017999999999999988,0.371,0.422,-0.05099999999999999,0.274,0.302,-0.02799999999999997,"3.00","3.80","-0.8"
"Phillips, Evan","623465","2024","228","147",0.232,0.225,0.007000000000000006,0.372,0.349,0.02300000000000002,0.288,0.282,0.006000000000000005,"3.62","3.29","0.332"
"Grove, Michael","675627","2024","216","139",0.241,0.222,0.01899999999999999,0.382,0.359,0.02300000000000002,0.308,0.296,0.01200000000000001,"5.12","3.64","1.478"
"Banda, Anthony","607455","2024","209","139",0.238,0.227,0.010999999999999982,0.351,0.358,-0.007000000000000006,0.281,0.281,0,"3.08","3.26","-0.179"
