"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"López, Pablo","641154","2024","772","523",0.252,0.239,0.013000000000000012,0.407,0.389,0.01799999999999996,0.306,0.297,0.009000000000000008,"4.08","3.67","0.409"
"Ober, Bailey","641927","2024","709","469",0.208,0.209,-0.0010000000000000009,0.391,0.371,0.020000000000000018,0.282,0.279,0.002999999999999947,"3.98","3.22","0.759"
"Woods Richardson, Simeon","680573","2024","569","401",0.246,0.239,0.007000000000000006,0.385,0.395,-0.010000000000000009,0.305,0.311,-0.006000000000000005,"4.17","4.05","0.125"
"Ryan, Joe","657746","2024","538","363",0.217,0.208,0.009000000000000008,0.4,0.352,0.04800000000000004,0.282,0.264,0.01799999999999996,"3.60","2.87","0.73"
"Irvin, Cole","608344","2024","492","379",0.293,0.291,0.0020000000000000018,0.498,0.509,-0.01100000000000001,0.357,0.364,-0.007000000000000006,"5.11","5.78","-0.672"
"Paddack, Chris","663978","2024","384","283",0.283,0.272,0.010999999999999954,0.444,0.464,-0.020000000000000018,0.332,0.337,-0.0050000000000000044,"4.99","4.84","0.152"
"Tonkin, Michael","543859","2024","340","217",0.236,0.253,-0.017000000000000015,0.35,0.392,-0.04200000000000004,0.296,0.321,-0.025000000000000022,"3.63","4.34","-0.71"
"Sands, Cole","663485","2024","292","189",0.221,0.221,0,0.326,0.371,-0.044999999999999984,0.259,0.28,-0.02100000000000002,"3.28","3.24","0.04"
"Richards, Trevor","670950","2024","277","177",0.188,0.205,-0.016999999999999987,0.308,0.334,-0.026000000000000023,0.273,0.295,-0.021999999999999964,"4.55","3.62","0.926"
"Festa, David","701581","2024","277","175",0.247,0.24,0.007000000000000006,0.434,0.408,0.026000000000000023,0.324,0.314,0.010000000000000009,"4.90","4.14","0.756"
"Jax, Griffin","643377","2024","276","163",0.184,0.187,-0.0030000000000000027,0.281,0.307,-0.025999999999999968,0.227,0.24,-0.012999999999999984,"2.03","2.37","-0.342"
"Varland, Louie","686973","2024","238","169",0.318,0.285,0.03300000000000003,0.523,0.466,0.056999999999999995,0.382,0.354,0.028000000000000025,"7.61","5.42","2.191"
"Alcala, Jorge","660896","2024","235","153",0.19,0.194,-0.0040000000000000036,0.352,0.344,0.008000000000000007,0.273,0.275,-0.0020000000000000018,"3.24","3.12","0.12"
"Duran, Jhoan","661395","2024","228","141",0.235,0.208,0.026999999999999996,0.363,0.287,0.07600000000000001,0.292,0.259,0.032999999999999974,"3.64","2.76","0.884"
"Thielbar, Caleb","573204","2024","216","139",0.266,0.239,0.027000000000000024,0.41,0.393,0.01699999999999996,0.327,0.315,0.01200000000000001,"5.32","4.17","1.154"
