"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Semien, Marcus","543760","2024","718","546",0.237,0.251,-0.014000000000000012,0.391,0.391,0,0.306,0.313,-0.007000000000000006
"García, Adolis","666969","2024","637","409",0.224,0.227,-0.0030000000000000027,0.4,0.413,-0.012999999999999956,0.296,0.306,-0.010000000000000009
"Smith, Josh","669701","2024","592","407",0.258,0.242,0.016000000000000014,0.394,0.352,0.04200000000000004,0.323,0.304,0.019000000000000017
"Lowe, Nathaniel","663993","2024","565","365",0.265,0.252,0.013000000000000012,0.401,0.38,0.02100000000000002,0.337,0.328,0.009000000000000008
"Langford, Wyatt","694671","2024","557","387",0.253,0.257,-0.0040000000000000036,0.415,0.427,-0.01200000000000001,0.321,0.331,-0.010000000000000009
"Seager, Corey","608369","2024","533","381",0.278,0.289,-0.010999999999999954,0.512,0.561,-0.049000000000000044,0.365,0.39,-0.025000000000000022
"Taveras, Leody","665750","2024","529","375",0.229,0.24,-0.010999999999999982,0.352,0.368,-0.016000000000000014,0.282,0.295,-0.013000000000000012
"Heim, Jonah","641680","2024","491","371",0.22,0.228,-0.008000000000000007,0.336,0.356,-0.019999999999999962,0.265,0.277,-0.01200000000000001
