"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Adames, Willy","642715","2024","688","440",0.251,0.243,0.008000000000000007,0.462,0.461,0.0010000000000000009,0.342,0.339,0.0030000000000000027
"Contreras, William","661388","2024","679","459",0.281,0.269,0.01200000000000001,0.466,0.471,-0.004999999999999949,0.359,0.358,0.0010000000000000009
"Turang, Brice","668930","2024","619","462",0.254,0.261,-0.007000000000000006,0.349,0.34,0.008999999999999952,0.294,0.297,-0.0030000000000000027
"Chourio, Jackson","694192","2024","573","410",0.275,0.274,0.0010000000000000009,0.464,0.43,0.03400000000000003,0.339,0.328,0.01100000000000001
"Frelick, Sal","686217","2024","524","400",0.259,0.246,0.013000000000000012,0.335,0.304,0.031000000000000028,0.292,0.278,0.013999999999999957
"Hoskins, Rhys","656555","2024","517","306",0.214,0.202,0.011999999999999983,0.419,0.387,0.03199999999999997,0.313,0.301,0.01200000000000001
"Ortiz, Joey","687401","2024","511","346",0.239,0.234,0.004999999999999977,0.398,0.343,0.05499999999999999,0.319,0.305,0.014000000000000012
"Perkins, Blake","663368","2024","434","281",0.24,0.218,0.021999999999999992,0.332,0.311,0.02100000000000002,0.288,0.275,0.012999999999999956
"Bauers, Jake","641343","2024","346","184",0.199,0.201,-0.0020000000000000018,0.361,0.379,-0.018000000000000016,0.294,0.302,-0.008000000000000007
