"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Reynolds, Bryan","668804","2024","692","469",0.275,0.27,0.0050000000000000044,0.447,0.463,-0.016000000000000014,0.343,0.35,-0.006999999999999951
"De La Cruz, Bryan","650559","2024","622","419",0.233,0.242,-0.00899999999999998,0.384,0.419,-0.034999999999999976,0.283,0.302,-0.019000000000000017
"Cruz, Oneil","665833","2024","599","364",0.259,0.263,-0.0040000000000000036,0.449,0.461,-0.01200000000000001,0.331,0.34,-0.009000000000000008
"McCutchen, Andrew","457705","2024","515","317",0.232,0.227,0.0050000000000000044,0.411,0.421,-0.010000000000000009,0.325,0.327,-0.0020000000000000018
"Kiner-Falefa, Isiah","643396","2024","496","392",0.269,0.251,0.018000000000000016,0.376,0.346,0.030000000000000027,0.299,0.283,0.016000000000000014
"Triolo, Jared","669707","2024","446","281",0.216,0.224,-0.008000000000000007,0.315,0.332,-0.017000000000000015,0.275,0.289,-0.013999999999999957
"Tellez, Rowdy","642133","2024","421","299",0.243,0.237,0.006000000000000005,0.392,0.394,-0.0020000000000000018,0.301,0.302,-0.0010000000000000009
"Joe, Connor","656582","2024","416","275",0.228,0.206,0.02200000000000002,0.368,0.308,0.06,0.305,0.277,0.02799999999999997
"Hayes, Ke'Bryan","663647","2024","396","294",0.233,0.244,-0.010999999999999982,0.29,0.327,-0.03700000000000003,0.256,0.279,-0.02300000000000002
"Gonzales, Nick","693304","2024","387","290",0.27,0.27,0,0.398,0.407,-0.008999999999999952,0.307,0.317,-0.010000000000000009
