"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Arozarena, Randy","668227","2024","648","384",0.219,0.219,0,0.388,0.381,0.007000000000000006,0.32,0.324,-0.0040000000000000036
"Raleigh, Cal","663728","2024","628","376",0.22,0.233,-0.013000000000000012,0.436,0.476,-0.03999999999999998,0.323,0.346,-0.022999999999999965
"Rodríguez, Julio","677594","2024","613","413",0.273,0.275,-0.0020000000000000018,0.409,0.463,-0.05400000000000005,0.321,0.344,-0.022999999999999965
"Turner, Justin","457759","2024","539","372",0.259,0.252,0.007000000000000006,0.383,0.383,0,0.327,0.328,-0.0010000000000000009
"Rojas, Josh","668942","2024","476","317",0.225,0.223,0.0020000000000000018,0.336,0.35,-0.013999999999999957,0.286,0.293,-0.007000000000000006
"Polanco, Jorge","593871","2024","468","281",0.214,0.226,-0.01200000000000001,0.356,0.399,-0.04300000000000004,0.288,0.309,-0.02100000000000002
"Raley, Luke","670042","2024","455","273",0.243,0.22,0.022999999999999993,0.463,0.418,0.04500000000000004,0.339,0.316,0.02300000000000002
"Crawford, J.P.","641487","2024","451","291",0.202,0.227,-0.024999999999999994,0.321,0.363,-0.04199999999999998,0.283,0.309,-0.026000000000000023
"Moore, Dylan","664238","2024","441","251",0.201,0.201,0,0.367,0.324,0.04299999999999998,0.306,0.297,0.009000000000000008
"Garver, Mitch","641598","2024","430","237",0.172,0.18,-0.008000000000000007,0.341,0.335,0.006000000000000005,0.281,0.285,-0.003999999999999948
"Haniger, Mitch","571745","2024","423","255",0.208,0.216,-0.008000000000000007,0.334,0.364,-0.02999999999999997,0.277,0.292,-0.014999999999999958
