"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Altuve, Jose","514888","2024","682","509",0.295,0.262,0.032999999999999974,0.439,0.399,0.03999999999999998,0.344,0.316,0.02799999999999997
"Peña, Jeremy","665161","2024","650","500",0.266,0.263,0.0030000000000000027,0.394,0.394,0,0.305,0.31,-0.0050000000000000044
"Alvarez, Yordan","670541","2024","635","461",0.308,0.303,0.0050000000000000044,0.567,0.595,-0.028000000000000025,0.402,0.411,-0.008999999999999952
"Bregman, Alex","608324","2024","634","499",0.26,0.257,0.0030000000000000027,0.453,0.417,0.03600000000000003,0.331,0.319,0.01200000000000001
"Diaz, Yainer","673237","2024","619","486",0.299,0.299,0,0.441,0.458,-0.017000000000000015,0.329,0.339,-0.010000000000000009
"Meyers, Jake","676694","2024","513","351",0.219,0.235,-0.015999999999999986,0.36,0.382,-0.02200000000000002,0.285,0.304,-0.019000000000000017
"Dubón, Mauricio","643289","2024","428","355",0.269,0.248,0.02100000000000002,0.361,0.33,0.030999999999999972,0.286,0.272,0.013999999999999957
"Singleton, Jon","572138","2024","405","247",0.234,0.228,0.006000000000000005,0.386,0.382,0.0040000000000000036,0.312,0.31,0.0020000000000000018
"Tucker, Kyle","663656","2024","339","225",0.289,0.279,0.009999999999999953,0.585,0.536,0.04899999999999993,0.419,0.4,0.01899999999999996
