"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Duran, Jarren","680776","2024","735","515",0.285,0.275,0.009999999999999953,0.492,0.453,0.03899999999999998,0.357,0.342,0.014999999999999958
"Devers, Rafael","646240","2024","601","384",0.272,0.272,0,0.516,0.509,0.007000000000000006,0.364,0.364,0
"Rafaela, Ceddanne","678882","2024","571","398",0.246,0.229,0.016999999999999987,0.39,0.368,0.02200000000000002,0.286,0.273,0.012999999999999956
"Wong, Connor","657136","2024","487","336",0.28,0.231,0.049000000000000016,0.425,0.355,0.07,0.33,0.288,0.04200000000000004
"O'Neill, Tyler","641933","2024","473","254",0.241,0.213,0.027999999999999997,0.511,0.48,0.031000000000000028,0.36,0.339,0.020999999999999963
"Abreu, Wilyer","677800","2024","447","279",0.253,0.229,0.023999999999999994,0.459,0.418,0.041000000000000036,0.336,0.317,0.019000000000000017
"Yoshida, Masataka","807799","2024","421","328",0.28,0.258,0.02200000000000002,0.415,0.394,0.020999999999999963,0.336,0.322,0.014000000000000012
