"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Guerrero Jr., Vladimir","665489","2024","697","524",0.323,0.321,0.0020000000000000018,0.544,0.567,-0.02299999999999991,0.398,0.408,-0.009999999999999953
"Springer, George","543807","2024","614","432",0.22,0.244,-0.023999999999999994,0.371,0.402,-0.031000000000000028,0.298,0.322,-0.02400000000000002
"Varsho, Daulton","662139","2024","513","324",0.214,0.186,0.027999999999999997,0.407,0.316,0.09099999999999997,0.304,0.261,0.04299999999999998
"Schneider, Davis","676914","2024","454","258",0.191,0.198,-0.007000000000000006,0.343,0.358,-0.014999999999999958,0.277,0.292,-0.014999999999999958
"Clement, Ernie","676391","2024","452","397",0.263,0.252,0.01100000000000001,0.408,0.373,0.034999999999999976,0.297,0.282,0.015000000000000013
"Kirk, Alejandro","672386","2024","386","298",0.253,0.257,-0.0040000000000000036,0.359,0.392,-0.03300000000000003,0.297,0.324,-0.027000000000000024
"Horwitz, Spencer","687462","2024","381","262",0.265,0.254,0.01100000000000001,0.433,0.419,0.014000000000000012,0.344,0.338,0.00599999999999995
