"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Bleday, JJ","668709","2024","642","448",0.243,0.242,0.0010000000000000009,0.437,0.4,0.03699999999999998,0.33,0.319,0.01100000000000001
"Rooker, Brent","667670","2024","614","373",0.293,0.266,0.02699999999999997,0.562,0.557,0.0050000000000000044,0.392,0.38,0.01200000000000001
"Gelof, Zack","680869","2024","547","317",0.211,0.199,0.011999999999999983,0.362,0.347,0.015000000000000013,0.276,0.271,0.0050000000000000044
"Langeliers, Shea","669127","2024","534","343",0.224,0.241,-0.016999999999999987,0.45,0.456,-0.006000000000000005,0.315,0.328,-0.013000000000000012
"Schuemann, Max","680474","2024","459","286",0.22,0.222,-0.0020000000000000018,0.308,0.338,-0.030000000000000027,0.281,0.296,-0.014999999999999958
"Butler, Lawrence","671732","2024","451","308",0.262,0.261,0.0010000000000000009,0.49,0.471,0.019000000000000017,0.345,0.342,0.002999999999999947
"Brown, Seth","664913","2024","400","261",0.231,0.232,-0.0010000000000000009,0.379,0.387,-0.008000000000000007,0.289,0.294,-0.0050000000000000044
"Toro, Abraham","647351","2024","364","277",0.24,0.245,-0.0050000000000000044,0.35,0.365,-0.015000000000000013,0.283,0.291,-0.008000000000000007
