"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Greene, Riley","682985","2024","584","358",0.262,0.253,0.009000000000000008,0.479,0.477,0.0020000000000000018,0.355,0.353,0.0020000000000000018
"Vierling, Matt","663837","2024","567","402",0.257,0.256,0.0010000000000000009,0.423,0.393,0.02999999999999997,0.317,0.309,0.008000000000000007
"Keith, Colt","690993","2024","556","408",0.26,0.266,-0.006000000000000005,0.38,0.393,-0.013000000000000012,0.301,0.311,-0.010000000000000009
"Pérez, Wenceel","672761","2024","425","300",0.242,0.241,0.0010000000000000009,0.383,0.354,0.029000000000000026,0.299,0.291,0.008000000000000007
"Torkelson, Spencer","679529","2024","381","238",0.219,0.209,0.010000000000000009,0.374,0.351,0.02300000000000002,0.295,0.283,0.01200000000000001
