"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Ramírez, José","608070","2024","682","544",0.279,0.259,0.020000000000000018,0.537,0.453,0.08400000000000002,0.364,0.329,0.034999999999999976
"Naylor, Josh","647304","2024","633","462",0.243,0.257,-0.014000000000000012,0.456,0.443,0.013000000000000012,0.332,0.335,-0.0030000000000000027
"Giménez, Andrés","665926","2024","633","495",0.252,0.262,-0.010000000000000009,0.34,0.355,-0.014999999999999958,0.281,0.296,-0.014999999999999958
"Kwan, Steven","680757","2024","540","431",0.292,0.284,0.008000000000000007,0.425,0.385,0.03999999999999998,0.349,0.333,0.01599999999999996
"Thomas, Lane","657041","2024","528","340",0.237,0.242,-0.0050000000000000044,0.4,0.377,0.02300000000000002,0.309,0.307,0.0020000000000000018
"Rocchio, Brayan","677587","2024","442","300",0.206,0.21,-0.0040000000000000036,0.316,0.302,0.014000000000000012,0.276,0.275,0.0010000000000000009
"Fry, David","681807","2024","392","255",0.263,0.246,0.017000000000000015,0.448,0.394,0.05399999999999999,0.347,0.326,0.020999999999999963
"Naylor, Bo","666310","2024","389","236",0.201,0.196,0.0050000000000000044,0.35,0.326,0.023999999999999966,0.269,0.26,0.009000000000000008
"Freeman, Tyler","671289","2024","383","283",0.209,0.236,-0.026999999999999996,0.321,0.338,-0.017000000000000015,0.283,0.302,-0.019000000000000017
"Brennan, Will","686823","2024","353","283",0.264,0.269,-0.0050000000000000044,0.388,0.374,0.014000000000000012,0.303,0.302,0.0010000000000000009
