"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Carroll, Corbin","682998","2024","684","471",0.231,0.241,-0.009999999999999981,0.428,0.391,0.03699999999999998,0.325,0.324,0.0010000000000000009
"Suárez, Eugenio","553993","2024","640","406",0.256,0.247,0.009000000000000008,0.469,0.447,0.021999999999999964,0.337,0.33,0.007000000000000006
"Bell, Josh","605137","2024","603","421",0.249,0.239,0.010000000000000009,0.405,0.396,0.009000000000000008,0.317,0.31,0.007000000000000006
"Marte, Ketel","606466","2024","583","407",0.292,0.294,-0.0020000000000000018,0.56,0.538,0.02200000000000002,0.391,0.392,-0.0010000000000000009
"Gurriel Jr., Lourdes","666971","2024","553","417",0.279,0.267,0.01200000000000001,0.435,0.421,0.014000000000000012,0.327,0.319,0.008000000000000007
"Walker, Christian","572233","2024","552","354",0.251,0.246,0.0050000000000000044,0.468,0.457,0.01100000000000001,0.343,0.351,-0.007999999999999952
"McCarthy, Jake","664983","2024","495","372",0.285,0.265,0.019999999999999962,0.4,0.359,0.041000000000000036,0.329,0.311,0.018000000000000016
"Pederson, Joc","592626","2024","449","266",0.275,0.264,0.01100000000000001,0.515,0.48,0.03500000000000003,0.391,0.378,0.013000000000000012
"Perdomo, Geraldo","672695","2024","388","291",0.273,0.231,0.04200000000000001,0.374,0.314,0.06,0.317,0.281,0.035999999999999976
"Moreno, Gabriel","672515","2024","351","256",0.266,0.255,0.01100000000000001,0.38,0.384,-0.0040000000000000036,0.325,0.325,0
