"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Tovar, Ezequiel","678662","2024","695","467",0.269,0.233,0.036000000000000004,0.469,0.401,0.06799999999999995,0.324,0.289,0.03500000000000003
"McMahon, Ryan","641857","2024","645","386",0.242,0.243,-0.0010000000000000009,0.397,0.414,-0.01699999999999996,0.315,0.325,-0.010000000000000009
"Doyle, Brenton","686668","2024","603","401",0.26,0.254,0.006000000000000005,0.446,0.437,0.009000000000000008,0.328,0.329,-0.0010000000000000009
"Rodgers, Brendan","663898","2024","539","372",0.267,0.248,0.019000000000000017,0.407,0.377,0.02999999999999997,0.314,0.295,0.019000000000000017
"Blackmon, Charlie","453568","2024","499","364",0.256,0.249,0.007000000000000006,0.412,0.365,0.046999999999999986,0.323,0.306,0.017000000000000015
"Toglia, Michael","669911","2024","458","255",0.218,0.244,-0.025999999999999995,0.456,0.503,-0.046999999999999986,0.329,0.358,-0.02899999999999997
"Cave, Jake","595909","2024","346","229",0.251,0.233,0.017999999999999988,0.396,0.357,0.039000000000000035,0.295,0.277,0.01799999999999996
