"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Henderson, Gunnar","683002","2024","719","475",0.281,0.283,-0.0019999999999999463,0.529,0.492,0.03700000000000003,0.381,0.374,0.007000000000000006
"Santander, Anthony","623993","2024","665","471",0.235,0.228,0.0069999999999999785,0.506,0.445,0.061,0.345,0.324,0.020999999999999963
"Rutschman, Adley","668939","2024","638","475",0.25,0.255,-0.0050000000000000044,0.391,0.393,-0.0020000000000000018,0.309,0.315,-0.006000000000000005
"Cowser, Colton","681297","2024","561","330",0.242,0.23,0.011999999999999983,0.447,0.437,0.010000000000000009,0.331,0.326,0.0050000000000000044
"Mountcastle, Ryan","663624","2024","507","365",0.271,0.272,-0.0010000000000000009,0.425,0.445,-0.020000000000000018,0.316,0.332,-0.016000000000000014
"Mullins, Cedric","656775","2024","499","350",0.234,0.227,0.007000000000000006,0.405,0.355,0.050000000000000044,0.31,0.291,0.019000000000000017
"O'Hearn, Ryan","656811","2024","494","377",0.264,0.278,-0.014000000000000012,0.427,0.461,-0.03400000000000003,0.33,0.351,-0.020999999999999963
"Westburg, Jordan","676059","2024","447","321",0.264,0.281,-0.017000000000000015,0.481,0.491,-0.010000000000000009,0.34,0.353,-0.012999999999999956
"Jiménez, Eloy","650391","2024","349","255",0.238,0.248,-0.010000000000000009,0.336,0.382,-0.045999999999999985,0.276,0.3,-0.023999999999999966
