"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Chapman, Matt","656305","2024","647","419",0.247,0.25,-0.0030000000000000027,0.463,0.451,0.01200000000000001,0.34,0.341,-0.0010000000000000009
"Ramos, Heliot","671218","2024","518","344",0.269,0.25,0.019000000000000017,0.469,0.481,-0.01200000000000001,0.339,0.338,0.0010000000000000009
"Conforto, Michael","624424","2024","488","323",0.237,0.257,-0.020000000000000018,0.45,0.479,-0.02899999999999997,0.327,0.35,-0.022999999999999965
"Yastrzemski, Mike","573262","2024","474","306",0.231,0.219,0.01200000000000001,0.437,0.397,0.03999999999999998,0.319,0.301,0.018000000000000016
"Canha, Mark","592192","2024","462","302",0.242,0.212,0.03,0.346,0.306,0.03999999999999998,0.31,0.288,0.02200000000000002
"Bailey, Patrick","672275","2024","448","309",0.234,0.258,-0.023999999999999994,0.339,0.398,-0.059,0.281,0.319,-0.03799999999999998
"Wade Jr., LaMonte","664774","2024","401","245",0.26,0.259,0.0010000000000000009,0.381,0.428,-0.046999999999999986,0.337,0.354,-0.01699999999999996
"Estrada, Thairo","642731","2024","381","290",0.217,0.226,-0.009000000000000008,0.343,0.338,0.0050000000000000044,0.256,0.263,-0.007000000000000006
"Fitzgerald, Tyler","666149","2024","341","207",0.28,0.227,0.05300000000000002,0.497,0.378,0.119,0.357,0.292,0.065
