"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Ohtani, Shohei","660271","2024","731","479",0.31,0.314,-0.0040000000000000036,0.646,0.66,-0.014000000000000012,0.431,0.442,-0.01100000000000001
"Hernández, Teoscar","606192","2024","652","402",0.272,0.25,0.02200000000000002,0.501,0.486,0.015000000000000013,0.36,0.346,0.014000000000000012
"Freeman, Freddie","518692","2024","638","450",0.282,0.278,0.003999999999999948,0.476,0.466,0.009999999999999953,0.365,0.367,-0.0020000000000000018
"Smith, Will","669257","2024","544","379",0.248,0.242,0.006000000000000005,0.433,0.446,-0.013000000000000012,0.326,0.334,-0.008000000000000007
"Betts, Mookie","605141","2024","516","397",0.289,0.282,0.007000000000000006,0.491,0.447,0.043999999999999984,0.371,0.356,0.015000000000000013
"Lux, Gavin","666158","2024","487","331",0.251,0.259,-0.008000000000000007,0.383,0.386,-0.0030000000000000027,0.31,0.318,-0.008000000000000007
"Pages, Andy","681624","2024","443","299",0.248,0.251,-0.0030000000000000027,0.407,0.422,-0.015000000000000013,0.31,0.321,-0.01100000000000001
"Hernández, Enrique","571771","2024","393","289",0.229,0.233,-0.0040000000000000036,0.373,0.362,0.01100000000000001,0.285,0.285,0
