"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Alonso, Pete","624413","2024","695","440",0.24,0.242,-0.0020000000000000018,0.459,0.461,-0.0020000000000000018,0.34,0.343,-0.0030000000000000027
"Lindor, Francisco","596019","2024","689","494",0.273,0.283,-0.009999999999999953,0.5,0.528,-0.028000000000000025,0.363,0.379,-0.016000000000000014
"Nimmo, Brandon","607043","2024","663","416",0.224,0.244,-0.01999999999999999,0.399,0.408,-0.008999999999999952,0.321,0.335,-0.014000000000000012
"Winker, Jesse","608385","2024","508","329",0.253,0.245,0.008000000000000007,0.405,0.384,0.02100000000000002,0.338,0.329,0.009000000000000008
"Martinez, J.D.","502110","2024","495","295",0.235,0.256,-0.02100000000000002,0.406,0.472,-0.06599999999999995,0.318,0.351,-0.032999999999999974
"McNeil, Jeff","643446","2024","472","360",0.238,0.235,0.0030000000000000027,0.384,0.336,0.04799999999999999,0.304,0.288,0.016000000000000014
"Vientos, Mark","668901","2024","454","283",0.266,0.246,0.020000000000000018,0.516,0.463,0.05299999999999999,0.356,0.331,0.024999999999999967
"Bader, Harrison","664056","2024","437","313",0.236,0.242,-0.006000000000000005,0.373,0.377,-0.0040000000000000036,0.285,0.294,-0.009000000000000008
"Marte, Starling","516782","2024","370","259",0.269,0.287,-0.01799999999999996,0.388,0.425,-0.03699999999999998,0.313,0.337,-0.02400000000000002
"Taylor, Tyrone","621438","2024","345","241",0.248,0.249,-0.0010000000000000009,0.401,0.389,0.01200000000000001,0.304,0.301,0.0030000000000000027
"Alvarez, Francisco","682626","2024","342","224",0.237,0.22,0.016999999999999987,0.403,0.358,0.04500000000000004,0.31,0.289,0.02100000000000002
