"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Abrams, CJ","682928","2024","602","418",0.246,0.247,-0.0010000000000000009,0.433,0.409,0.02400000000000002,0.322,0.319,0.0030000000000000027
"García Jr., Luis","671277","2024","528","415",0.282,0.278,0.003999999999999948,0.444,0.452,-0.008000000000000007,0.328,0.331,-0.0030000000000000027
"Young, Jacob","696285","2024","521","377",0.256,0.253,0.0030000000000000027,0.331,0.317,0.014000000000000012,0.29,0.286,0.0040000000000000036
"Ruiz, Keibert","660688","2024","485","410",0.229,0.251,-0.021999999999999992,0.359,0.35,0.009000000000000008,0.268,0.279,-0.01100000000000001
