"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"De La Cruz, Elly","682829","2024","696","403",0.259,0.24,0.019000000000000017,0.471,0.428,0.04299999999999998,0.349,0.328,0.020999999999999963
"Steer, Spencer","668715","2024","656","439",0.225,0.235,-0.009999999999999981,0.402,0.379,0.02300000000000002,0.316,0.315,0.0010000000000000009
"India, Jonathan","663697","2024","637","417",0.248,0.266,-0.018000000000000016,0.392,0.412,-0.019999999999999962,0.333,0.352,-0.01899999999999996
"France, Ty","664034","2024","535","370",0.234,0.228,0.006000000000000005,0.365,0.387,-0.02200000000000002,0.296,0.303,-0.007000000000000006
"Stephenson, Tyler","663886","2024","515","342",0.258,0.241,0.017000000000000015,0.444,0.403,0.04099999999999998,0.339,0.322,0.017000000000000015
"Candelario, Jeimer","600869","2024","463","316",0.225,0.221,0.0040000000000000036,0.429,0.364,0.065,0.304,0.28,0.023999999999999966
"Espinal, Santiago","669289","2024","391","311",0.246,0.258,-0.01200000000000001,0.356,0.344,0.01200000000000001,0.285,0.288,-0.0030000000000000027
"Benson, Will","666181","2024","388","192",0.187,0.18,0.007000000000000006,0.376,0.333,0.04299999999999998,0.285,0.268,0.01699999999999996
"Fraley, Jake","641584","2024","382","283",0.277,0.245,0.03200000000000003,0.386,0.323,0.063,0.314,0.285,0.029000000000000026
"Rosario, Amed","642708","2024","346","260",0.28,0.25,0.030000000000000027,0.38,0.359,0.02100000000000002,0.299,0.28,0.01899999999999996
"Friedl, TJ","670770","2024","341","251",0.226,0.228,-0.0020000000000000018,0.38,0.318,0.062,0.305,0.292,0.013000000000000012
