"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Arraez, Luis","650333","2024","672","611",0.314,0.31,0.0040000000000000036,0.392,0.4,-0.008000000000000007,0.323,0.325,-0.0020000000000000018
"Profar, Jurickson","595777","2024","668","473",0.28,0.282,-0.0019999999999999463,0.459,0.444,0.015000000000000013,0.365,0.364,0.0010000000000000009
"Cronenworth, Jake","630105","2024","656","463",0.241,0.259,-0.018000000000000016,0.39,0.42,-0.02999999999999997,0.315,0.335,-0.020000000000000018
"Machado, Manny","592518","2024","643","473",0.275,0.272,0.0030000000000000027,0.472,0.461,0.010999999999999954,0.34,0.338,0.0020000000000000018
"Merrill, Jackson","701538","2024","593","462",0.292,0.303,-0.01100000000000001,0.5,0.534,-0.03400000000000003,0.352,0.372,-0.020000000000000018
"Kim, Ha-Seong","673490","2024","470","333",0.233,0.245,-0.011999999999999983,0.37,0.352,0.018000000000000016,0.308,0.313,-0.0050000000000000044
"Bogaerts, Xander","593428","2024","463","355",0.264,0.262,0.0020000000000000018,0.381,0.382,-0.0010000000000000009,0.3,0.305,-0.0050000000000000044
"Tatis Jr., Fernando","665487","2024","438","303",0.276,0.298,-0.021999999999999964,0.492,0.538,-0.04600000000000004,0.359,0.387,-0.028000000000000025
"Díaz, Elias","553869","2024","351","258",0.265,0.242,0.02300000000000002,0.382,0.343,0.03899999999999998,0.303,0.28,0.022999999999999965
