"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Happ, Ian","664023","2024","657","403",0.243,0.243,0,0.441,0.446,-0.0050000000000000044,0.341,0.345,-0.003999999999999948
"Hoerner, Nico","663538","2024","641","519",0.273,0.28,-0.007000000000000006,0.373,0.353,0.020000000000000018,0.313,0.313,0
"Paredes, Isaac","670623","2024","641","443",0.238,0.22,0.017999999999999988,0.393,0.337,0.055999999999999994,0.327,0.304,0.02300000000000002
"Swanson, Dansby","621020","2024","593","393",0.242,0.244,-0.0020000000000000018,0.39,0.416,-0.025999999999999968,0.307,0.321,-0.014000000000000012
"Suzuki, Seiya","673548","2024","585","356",0.283,0.255,0.02799999999999997,0.482,0.453,0.02899999999999997,0.365,0.346,0.019000000000000017
"Bellinger, Cody","641355","2024","569","432",0.266,0.242,0.02400000000000002,0.426,0.391,0.034999999999999976,0.322,0.301,0.02100000000000002
"Busch, Michael","683737","2024","567","338",0.248,0.217,0.031,0.44,0.418,0.02200000000000002,0.336,0.319,0.017000000000000015
"Crow-Armstrong, Pete","691718","2024","410","285",0.237,0.223,0.013999999999999985,0.384,0.367,0.017000000000000015,0.289,0.281,0.007999999999999952
"Amaya, Miguel","665804","2024","363","274",0.232,0.251,-0.01899999999999999,0.357,0.371,-0.014000000000000012,0.283,0.3,-0.017000000000000015
"Tauchman, Mike","643565","2024","350","229",0.248,0.242,0.006000000000000005,0.366,0.38,-0.014000000000000012,0.325,0.33,-0.0050000000000000044
