"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Goldschmidt, Paul","502671","2024","654","428",0.245,0.255,-0.010000000000000009,0.414,0.45,-0.03600000000000003,0.31,0.329,-0.019000000000000017
"Donovan, Brendan","680977","2024","652","511",0.278,0.277,0.0010000000000000009,0.417,0.419,-0.0020000000000000018,0.332,0.335,-0.0030000000000000027
"Winn, Masyn","691026","2024","637","486",0.267,0.256,0.01100000000000001,0.416,0.358,0.057999999999999996,0.315,0.293,0.02200000000000002
"Arenado, Nolan","571448","2024","635","493",0.272,0.255,0.017000000000000015,0.394,0.356,0.038000000000000034,0.314,0.296,0.018000000000000016
"Burleson, Alec","676475","2024","595","478",0.269,0.273,-0.0040000000000000036,0.42,0.435,-0.015000000000000013,0.319,0.329,-0.010000000000000009
"Nootbaar, Lars","663457","2024","405","273",0.244,0.264,-0.020000000000000018,0.417,0.455,-0.038000000000000034,0.331,0.355,-0.023999999999999966
"Gorman, Nolan","669357","2024","402","216",0.203,0.209,-0.005999999999999978,0.4,0.433,-0.032999999999999974,0.29,0.307,-0.017000000000000015
"Contreras, Willson","575929","2024","358","205",0.262,0.258,0.0040000000000000036,0.468,0.455,0.013000000000000012,0.37,0.365,0.0050000000000000044
