"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Ozuna, Marcell","542303","2024","688","440",0.302,0.287,0.015000000000000013,0.546,0.573,-0.026999999999999913,0.395,0.402,-0.007000000000000006
"Olson, Matt","621566","2024","685","435",0.247,0.247,0,0.457,0.448,0.009000000000000008,0.339,0.341,-0.0020000000000000018
"Arcia, Orlando","606115","2024","602","431",0.218,0.206,0.01200000000000001,0.354,0.323,0.030999999999999972,0.273,0.261,0.01200000000000001
"Soler, Jorge","624585","2024","574","356",0.241,0.244,-0.0030000000000000027,0.442,0.447,-0.0050000000000000044,0.34,0.346,-0.00599999999999995
"Harris II, Michael","671739","2024","470","349",0.264,0.284,-0.019999999999999962,0.418,0.461,-0.04300000000000004,0.312,0.344,-0.03199999999999997
"Riley, Austin","663586","2024","469","309",0.256,0.267,-0.01100000000000001,0.461,0.505,-0.043999999999999984,0.338,0.361,-0.022999999999999965
"Urshela, Gio","570482","2024","461","365",0.25,0.264,-0.014000000000000012,0.361,0.389,-0.028000000000000025,0.281,0.302,-0.020999999999999963
"Kelenic, Jarred","672284","2024","449","283",0.231,0.241,-0.009999999999999981,0.393,0.412,-0.01899999999999996,0.294,0.308,-0.014000000000000012
"Albies, Ozzie","645277","2024","435","338",0.251,0.246,0.0050000000000000044,0.404,0.387,0.017000000000000015,0.307,0.302,0.0050000000000000044
"d'Arnaud, Travis","518595","2024","341","222",0.238,0.236,0.0020000000000000018,0.436,0.434,0.0020000000000000018,0.319,0.322,-0.0030000000000000027
