"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Ward, Taylor","621493","2024","663","430",0.246,0.251,-0.0050000000000000044,0.426,0.458,-0.03200000000000003,0.325,0.344,-0.01899999999999996
"Schanuel, Nolan","694384","2024","607","426",0.25,0.258,-0.008000000000000007,0.362,0.359,0.0030000000000000027,0.315,0.321,-0.006000000000000005
"Neto, Zach","687263","2024","602","407",0.249,0.236,0.013000000000000012,0.443,0.414,0.029000000000000026,0.33,0.317,0.013000000000000012
"O'Hoppe, Logan","681351","2024","522","326",0.244,0.251,-0.007000000000000006,0.409,0.454,-0.04500000000000004,0.311,0.331,-0.020000000000000018
"Adell, Jo","666176","2024","451","282",0.207,0.224,-0.017000000000000015,0.402,0.418,-0.01599999999999996,0.296,0.312,-0.016000000000000014
"Moniak, Mickey","666160","2024","418","279",0.219,0.221,-0.0020000000000000018,0.38,0.379,0.0010000000000000009,0.281,0.283,-0.0019999999999999463
"Drury, Brandon","592273","2024","360","247",0.169,0.202,-0.033,0.228,0.287,-0.05899999999999997,0.217,0.259,-0.04200000000000001
