"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Vaughn, Andrew","683734","2024","619","443",0.246,0.244,0.0020000000000000018,0.402,0.44,-0.03799999999999998,0.304,0.319,-0.015000000000000013
"Benintendi, Andrew","643217","2024","522","384",0.229,0.243,-0.013999999999999985,0.396,0.389,0.007000000000000006,0.298,0.303,-0.0050000000000000044
"Sheets, Gavin","657757","2024","501","348",0.233,0.251,-0.017999999999999988,0.357,0.38,-0.02300000000000002,0.291,0.309,-0.018000000000000016
"Lopez, Nicky","670032","2024","445","337",0.241,0.227,0.013999999999999985,0.294,0.288,0.006000000000000005,0.275,0.268,0.007000000000000006
"Robert Jr., Luis","673357","2024","425","253",0.224,0.21,0.014000000000000012,0.379,0.364,0.015000000000000013,0.285,0.277,0.007999999999999952
"Lee, Korey","686676","2024","394","255",0.21,0.212,-0.0020000000000000018,0.347,0.338,0.008999999999999952,0.257,0.256,0.0010000000000000009
"Sosa, Lenyn","672820","2024","369","277",0.254,0.278,-0.02400000000000002,0.359,0.419,-0.06,0.28,0.316,-0.035999999999999976
