"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Soto, Juan","665742","2024","713","461",0.288,0.316,-0.028000000000000025,0.569,0.646,-0.07700000000000007,0.421,0.462,-0.041000000000000036
"Judge, Aaron","592450","2024","704","390",0.322,0.31,0.01200000000000001,0.701,0.723,-0.02200000000000002,0.476,0.479,-0.0030000000000000027
"Volpe, Anthony","683011","2024","689","486",0.243,0.238,0.0050000000000000044,0.364,0.332,0.03199999999999997,0.287,0.278,0.008999999999999952
"Torres, Gleyber","650402","2024","665","461",0.257,0.24,0.017000000000000015,0.378,0.368,0.010000000000000009,0.313,0.307,0.006000000000000005
"Verdugo, Alex","657077","2024","621","478",0.233,0.25,-0.016999999999999987,0.356,0.373,-0.017000000000000015,0.283,0.302,-0.019000000000000017
"Chisholm Jr., Jazz","665862","2024","621","412",0.256,0.24,0.016000000000000014,0.436,0.415,0.02100000000000002,0.327,0.316,0.01100000000000001
"Stanton, Giancarlo","519317","2024","459","276",0.233,0.249,-0.015999999999999986,0.475,0.509,-0.03400000000000003,0.33,0.352,-0.021999999999999964
"Wells, Austin","669224","2024","414","275",0.229,0.242,-0.012999999999999984,0.395,0.429,-0.033999999999999975,0.315,0.339,-0.02400000000000002
"Rizzo, Anthony","519203","2024","375","274",0.228,0.24,-0.011999999999999983,0.335,0.34,-0.0050000000000000044,0.285,0.297,-0.01200000000000001
