"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Castro, Willi","650489","2024","635","413",0.247,0.244,0.0030000000000000027,0.385,0.381,0.0040000000000000036,0.317,0.32,-0.0030000000000000027
"Santana, Carlos","467793","2024","594","424",0.238,0.246,-0.008000000000000007,0.42,0.415,0.0050000000000000044,0.326,0.33,-0.0040000000000000036
"Jeffers, Ryan","680777","2024","465","325",0.226,0.227,-0.0010000000000000009,0.432,0.386,0.045999999999999985,0.317,0.304,0.013000000000000012
"Miranda, Jose","669304","2024","429","339",0.284,0.259,0.024999999999999967,0.441,0.399,0.04199999999999998,0.328,0.306,0.02200000000000002
"Larnach, Trevor","663616","2024","400","268",0.259,0.259,0,0.434,0.458,-0.02400000000000002,0.336,0.345,-0.008999999999999952
"Kepler, Max","596146","2024","399","291",0.253,0.247,0.006000000000000005,0.38,0.381,-0.0010000000000000009,0.298,0.301,-0.0030000000000000027
"Buxton, Byron","621439","2024","388","258",0.279,0.264,0.015000000000000013,0.524,0.502,0.02200000000000002,0.366,0.353,0.013000000000000012
"Correa, Carlos","621043","2024","367","262",0.31,0.278,0.03199999999999997,0.517,0.455,0.062,0.385,0.358,0.027000000000000024
"Margot, Manuel","622534","2024","343","265",0.238,0.261,-0.02300000000000002,0.337,0.379,-0.04199999999999998,0.276,0.308,-0.03199999999999997
